Time,T1Mesure,T2Mesure,T3Mesure,PerturbationCourant,T3Estimation,Consigne
0.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
0.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
1.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
1.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
2.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
2.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
3.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
3.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
4.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,22
4.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4995661756343,22
5.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4991467098576,22
5.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4987411157014,22
6.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4983489228957,22
6.5,23.4569722912994,23.4841028396258,23.4841028396258,0.0,23.4979696772939,22
7.0,23.4027216305216,23.4841028396258,23.4841028396258,0.0,23.4976024133062,22
7.5,23.3756014785528,23.4841028396258,23.4841028396258,0.0,23.4972451605292,22
8.0,23.3484847525332,23.4841028396258,23.4841028396258,0.0,23.4968960467669,22
8.5,23.3213714327248,23.4841028396258,23.4841028396258,0.0,23.4965538041029,22
9.0,23.2671549328306,23.4841028396258,23.4841028396258,0.0,23.4962172222126,22
9.5,23.2400517133091,23.4569722912994,23.4841028396258,0.0,23.4958846196598,22
10.0,23.2129518211275,23.4569722912994,23.4841028396258,0.0,23.4948145523152,22
10.5,23.1858552365878,23.4569722912994,23.4841028396258,0.0,23.4937713944732,22
11.0,23.1316719116797,23.4298452281856,23.4841028396258,0.0,23.4927533124573,22
11.5,23.1045851319534,23.4298452281856,23.4841028396258,0.0,23.4910182674478,22
12.0,23.0775015811526,23.4298452281856,23.4569722912994,0.0,23.4893293594845,22
12.5,23.050421239617,23.4027216305216,23.4569722912994,0.0,23.4876841439844,22
13.0,22.9962701057361,23.4027216305216,23.4569722912994,0.0,23.4853406123632,22
13.5,22.9691992741061,23.3756014785528,23.4569722912994,0.0,23.4830611624474,22
14.0,22.9421315731717,23.3756014785528,23.4569722912994,0.0,23.4801026899607,22
14.5,22.9150669833081,23.3484847525332,23.4298452281856,0.0,23.4772273970349,22
15.0,22.8609470583286,23.3484847525332,23.4298452281856,0.0,23.473692161536,22
15.5,22.8338916839971,23.3213714327248,23.4298452281856,0.0,23.4702579308916,22
16.0,22.8068393423052,23.3213714327248,23.4298452281856,0.0,23.4661805733734,22
16.5,22.7797900136615,23.2942614993979,23.4298452281856,0.0,23.4622209254037,22
17.0,22.7527436784814,23.2942614993979,23.4027216305216,0.0,23.4576349170381,22
17.5,22.7257003171863,23.2671549328306,23.4027216305216,0.0,23.4531827349686,22
18.0,22.6716224379688,23.2400517133091,23.4027216305216,0.0,23.4481198658128,22
18.5,22.6445878809208,23.2400517133091,23.3756014785528,0.0,23.4424662542198,22
19.0,22.6175562195061,23.2129518211275,23.3756014785528,0.0,23.4369801961053,22
19.5,22.5905274341769,23.2129518211275,23.3756014785528,0.0,23.4309162410339,22
20.0,22.5635015053912,23.1858552365878,23.3756014785528,0.0,23.4250326943232,22
