Time,T1Mesure,T2Mesure,T3Mesure,PerturbationCourant,T3Estimation,Consigne
0.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
0.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
1.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
1.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
2.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
2.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
3.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
3.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
4.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.5,25
4.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4995661756343,25
5.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4991467098576,25
5.5,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4987411157014,25
6.0,23.4841028396258,23.4841028396258,23.4841028396258,0.0,23.4983489228957,25
6.5,23.5112368929362,23.4841028396258,23.4841028396258,0.0,23.4979696772939,25
7.0,23.5655155936366,23.4841028396258,23.4841028396258,0.0,23.4976034673961,25
7.5,23.5926602806124,23.4841028396258,23.4841028396258,0.0,23.4972514171199,25
8.0,23.6198085517439,23.5112368929362,23.4841028396258,0.0,23.4969145815734,25
8.5,23.6469604268457,23.5112368929362,23.5112368929362,0.0,23.4973333852683,25
9.0,23.6741159257419,23.5112368929362,23.5112368929362,0.0,23.4977428030154,25
9.5,23.7284378742585,23.5112368929362,23.5112368929362,0.0,23.4981441350101,25
10.0,23.7556043635723,23.5383744710102,23.5112368929362,0.0,23.4985391507784,25
10.5,23.7827745560676,23.5383744710102,23.5112368929362,0.0,23.4996695715303,25
11.0,23.8099484716143,23.5383744710102,23.5112368929362,0.0,23.500770906354,25
11.5,23.8643075513903,23.5655155936366,23.5112368929362,0.0,23.5018450682484,25
12.0,23.8914927554073,23.5655155936366,23.5112368929362,0.0,23.5036345580082,25
12.5,23.9186817620519,23.5655155936366,23.5112368929362,0.0,23.5053759551172,25
13.0,23.9458745912424,23.5926602806124,23.5383744710102,0.0,23.5070717767088,25
13.5,23.9730712629071,23.5926602806124,23.5383744710102,0.0,23.5094646767204,25
14.0,24.0274762134222,23.6198085517439,23.5383744710102,0.0,23.5117912044871,25
14.5,24.0546845321795,23.6198085517439,23.5383744710102,0.0,23.5147953341449,25
15.0,24.081896773225,23.6469604268457,23.5383744710102,0.0,23.5177146787477,25
15.5,24.1091129565378,23.6469604268457,23.5655155936366,0.0,23.5212933804123,25
16.0,24.1635572299341,23.6741159257419,23.5655155936366,0.0,23.5247690340487,25
16.5,24.1907853600284,23.6741159257419,23.5655155936366,0.0,23.5288870175701,25
17.0,24.2180175124118,23.7012750682655,23.5655155936366,0.0,23.5328859059289,25
17.5,24.2452537071164,23.7012750682655,23.5926602806124,0.0,23.5375111656149,25
18.0,24.2724939641853,23.7284378742585,23.5926602806124,0.0,23.5420012746038,25
18.5,24.2997383036723,23.7284378742585,23.5926602806124,0.0,23.5471023327694,25
19.0,24.3542393101723,23.7556043635723,23.5926602806124,0.0,23.5520532300902,25
19.5,24.3814960173485,23.7827745560676,23.6198085517439,0.0,23.5576011942302,25
20.0,24.4087568872702,23.7827745560676,23.6198085517439,0.0,23.5637269187986,25
20.5,24.4360219400472,23.8099484716143,23.6198085517439,0.0,23.5696701938883,25
21.0,24.4632911958012,23.8099484716143,23.6198085517439,0.0,23.5761789913575,25
21.5,24.4905646746649,23.8371261300921,23.6469604268457,0.0,23.582493403507,25
22.0,24.5178423967833,23.8643075513903,23.6469604268457,0.0,23.5893618978296,25
22.5,24.5451243823126,23.8643075513903,23.6469604268457,0.0,23.5967660786337,25
23.0,24.5997012242892,23.8914927554073,23.6741159257419,0.0,23.6039468361106,25
23.5,24.6269961211087,23.8914927554073,23.6741159257419,0.0,23.6116543490568,25
24.0,24.6542953620842,23.9186817620519,23.6741159257419,0.0,23.6191302097186,25
24.5,24.6815989674316,23.9458745912424,23.7012750682655,0.0,23.627124423123,25
25.0,24.70890695738,23.9458745912424,23.7012750682655,0.0,23.6356197710101,25
25.5,24.7362193521701,23.9730712629071,23.7012750682655,0.0,23.6438579684299,25
26.0,24.7635361720555,24.0002717969842,23.7284378742585,0.0,23.6525900850374,25
