time(s),tempTec,tempMilieu,tempLaser,Amperage
0.0,24.0,24.0,24.0,0
1.0666666666666667,24.210678915747465,24.000997670763688,24.000000000029836,0.6
2.1333333333333333,24.340479755010925,24.010695460570098,24.00000070862072,0.6
3.1999999999999997,24.437690440616418,24.027774767929124,24.000028307941868,0.6
4.266666666666667,24.520316945795347,24.04835243049547,24.000206883318786,0.6
5.333333333333333,24.594953008264365,24.070856412590217,24.000745669623004,0.6
6.3999999999999995,24.664441826519408,24.094653567773044,24.001860179003675,0.6
7.466666666666667,24.730118090907617,24.119405309222508,24.003725758982977,0.6
8.533333333333333,24.79267706748209,24.14487831743644,24.00646576469929,0.6
9.6,24.85253281002686,24.170891439926297,24.010156048335116,0.6
10.666666666666666,24.909968488090787,24.19729889532067,24.01483455463963,0.6
11.733333333333333,24.96520054824137,24.223982794395425,24.02051099537375,0.6
12.799999999999999,25.018406941725043,24.250848135836065,24.02717488901523,0.6
13.866666666666665,25.069740260216978,24.27781870697435,24.034801717288513,0.6
14.933333333333334,25.11933443650947,24.304833590843423,24.043357465820172,0.6
16.0,25.167308611443993,24.33184422464804,24.05280192000773,0.6
17.066666666666666,25.213769673483892,24.358811968218955,24.063091045098535,0.6
18.133333333333333,25.258814110843268,24.38570612350013,24.074178704073624,0.6
19.2,25.30252945802034,24.41250233730516,24.086017897842815,0.6
20.266666666666666,25.344995470100258,24.43918132101225,24.098561659055676,0.6
21.333333333333332,25.38628509566364,24.465727827911536,24.11176369263599,0.6
22.4,25.426465291688896,24.492129837879137,24.12557882948419,0.6
23.466666666666665,25.465597710696564,24.51837790790374,24.139963341303186,0.6
24.53333333333333,25.503739283161472,24.54446465486048,24.15487515161025,0.6
25.599999999999998,25.54094271356438,24.57038434356186,24.170273968898464,0.6
26.666666666666664,25.57725690504427,24.59613255855359,24.186121361391546,0.6
27.73333333333333,25.61272732491723,24.621705942511742,24.20238078808864,0.6
28.8,25.64739632112737,24.64710198760948,24.219017597288556,0.6
29.866666666666667,25.681303397878114,24.67231886902021,24.235999001156245,0.6
30.933333333333334,25.714485457194343,24.697355311948353,24.253294032905416,0.6
32.0,25.74697701193365,24.722210485347237,24.270873491651855,0.6
33.06666666666666,25.77881037475785,24.746883916885462,24.28870987882208,0.6
34.13333333333333,25.810015826753848,24.771375424839455,24.30677732909793,0.6
35.199999999999996,25.84062176872665,24.795685063473947,24.325051538174733,0.6
36.266666666666666,25.870654857645814,24.81981307917574,24.343509689064305,0.6
37.33333333333333,25.900140130288733,24.843759875165645,24.362130378247286,0.6
38.4,25.92910111577028,24.86752598305701,24.38089354264747,0.6
39.46666666666667,25.957559938360678,24.89111203988288,24.399780388141515,0.6
40.53333333333333,25.98553741176154,24.914518769494588,24.418773320116227,0.6
41.6,26.013053125821223,24.937746967458015,24.43785587642894,0.6
42.666666666666664,26.04012552651715,24.96079748875132,24.45701266300603,0.6
43.733333333333334,26.066771989907927,24.983671237709355,24.476229292221465,0.6
44.8,26.09300889065561,25.00636915977242,24.495492324126015,0.6
45.86666666666667,26.118851665634644,25.028892234686467,24.514789210544258,0.6
46.93333333333333,26.1443148730748,25.05124147087318,24.53410824201567,0.6
48.0,26.169412247628248,25.073417900745063,24.553438497526752,0.6
49.06666666666666,26.19415675170301,25.0954225767857,24.572769796958926,0.6
50.13333333333333,26.218560623365402,25.117256568251246,24.592092656162528,0.6
51.199999999999996,26.242635421080276,25.1389209583784,24.61139824455639,0.6
52.266666666666666,26.26639206552968,25.160416842006114,24.630678345146485,0.6
53.33333333333333,26.289840878725936,25.181745323537065,24.64992531685366,0.6
54.4,26.312991620614707,25.20290751517943,24.66913205903951,0.6
55.46666666666666,26.33585352334527,25.2239045354207,24.688291978119405,0.6
56.53333333333333,26.35843532336983,25.24473750769493,24.70739895615447,0.6
57.6,26.380745291519744,25.265407559211976,24.7264473213159,0.6
58.666666666666664,26.40279126119473,25.285915819923325,24.74543182011927,0.6
59.733333333333334,26.424580654789843,25.306263421603678,24.76434759132964,0.6
60.8,26.446120508476188,25.326451497031485,24.78319014144296,0.6
61.86666666666667,26.467417495442007,25.3464811792544,24.80195532165271,0.6
62.93333333333333,26.48847794769332,25.366353600928356,24.82063930621587,0.6
64.0,26.50930787650638,25.38606989372062,24.83923857213598,0.6
65.06666666666666,26.529912991617586,25.405631187769174,24.857749880085503,0.6
66.13333333333333,26.5502987192305,25.42503861119156,24.876170256494106,0.6
67.2,26.57047021891463,25.444293289637745,24.894496976732785,0.6
68.26666666666667,26.590432399465477,25.46339634588252,24.9127275493285,0.6
69.33333333333333,26.610189933790437,25.482348899452987,24.930859701147053,0.6
70.39999999999999,26.629747272881783,25.50115206628805,24.94889136348581,0.6
71.46666666666667,26.64910865893296,25.51980695842671,24.9668206590212,0.6
72.53333333333333,26.668278137651726,25.538314683722735,24.984645889558898,0.6
73.6,26.68725956981961,25.556676345583295,25.002365524538263,0.6
74.66666666666666,26.706056642144507,25.57489304272971,25.019978190244753,0.6
75.73333333333333,26.72467287744994,25.5929658689783,25.03748265968735,0.6
76.8,26.743111644241914,25.610895913039947,25.054877843100247,0.6
77.86666666666666,26.761376165691797,25.628684258336943,25.07216277903077,0.6
78.93333333333334,26.77946952807113,25.646331982835672,25.08933662597763,0.6
80.0,26.79739468867209,25.663840158894136,25.106398654545796,0.6
81.06666666666666,26.81515448324539,25.681209853123093,25.123348240086386,0.6
82.13333333333333,26.832751632984884,25.698442126260076,25.140184855791826,0.6
83.2,26.850188751087344,25.715538033055118,25.15690806621839,0.6
84.26666666666667,26.867468348912936,25.73249862216753,25.173517521209835,0.6
85.33333333333333,26.88459284177121,25.749324936072956,25.19001295019769,0.6
86.39999999999999,26.901564554355506,25.766018010980055,25.206394156854895,0.6
87.46666666666667,26.91838572584741,25.78257887675595,25.222661014081158,0.6
88.53333333333333,26.93505851471145,25.799008556860123,25.23881345929971,0.6
89.6,26.951585003198954,25.815308068286008,25.254851490046352,0.6
90.66666666666666,26.967967201579086,25.831478421509903,25.270775159832656,0.6
91.73333333333333,26.98420705211373,25.84752062044636,25.2865845742667,0.6
92.8,27.000306432791703,25.86343566241029,25.302279887415402,0.6
93.86666666666666,27.016267160837497,25.879224538084586,25.317861298393524,0.6
94.93333333333334,27.032090996007835,25.894888231493365,25.333329048165623,0.6
96.0,27.04777964368956,25.910427719980383,25.34868341654759,0.6
97.06666666666666,27.06333475781054,25.925843974192063,25.36392471939577,0.6
98.13333333333333,27.078757943575443,25.9411379580651,25.379053305971933,0.6
99.2,27.0940507600369,25.95631062881808,25.394069556473248,0.6
100.26666666666667,27.109214722512142,25.971362936947102,25.40897387971739,0.6
101.33333333333333,27.124251304854603,25.9862958262249,25.423766710972924,0.6
102.39999999999999,27.13916194158948,26.00111023370325,25.43844850992603,0.6
103.46666666666667,27.153948029921214,26.015807089718642,25.45301975877555,0.6
104.53333333333333,27.168610931621334,26.030387317900775,25.467480960447972,0.6
105.6,27.183151974803305,26.044851835183618,25.481832636925237,0.6
106.66666666666666,27.19757245559171,26.059201551819232,25.49607532767843,0.6
107.73333333333333,27.211873639692282,26.07343737139365,25.510209588200624,0.6
108.8,27.226056763868424,26.08756019084513,25.52423598863309,0.6
109.86666666666666,27.240123037330424,26.101570900484088,25.53815511247875,0.6
110.93333333333332,27.254073643042368,26.115470384015346,25.551967555397837,0.6
112.0,27.267909738951918,26.129259518561668,25.565673924080343,0.6
113.06666666666666,27.28163245914763,26.142939174689104,25.579274835190983,0.6
114.13333333333333,27.295242914948222,26.156510216433585,25.592770914381585,0.6
115.2,27.308742195927994,26.169973501329228,25.60616279536736,0.6
116.26666666666667,27.32213137088229,26.18332988043745,25.619451119062727,0.6
117.33333333333333,27.33541148873652,26.196580198377543,25.632636532773013,0.6
118.39999999999999,27.34858357940239,26.20972529335816,25.645719689438895,0.6
119.46666666666667,27.36164865458451,26.22276599720972,25.658701246929922,0.6
120.53333333333333,27.3746077085402,26.235703135417758,25.671581867384337,0.6
121.6,27.387461718795674,26.248537527157172,25.684362216592266,0.6
122.66666666666666,27.400211646820924,26.26126998532689,25.697042963419598,0.6
123.73333333333333,27.412858438666117,26.273901316585576,25.70962477926996,0.6
124.8,27.42540302556161,26.286432321387668,25.72210833758258,0.6
125.86666666666666,27.437846324483946,26.29886379402012,25.73449431336364,0.6
126.93333333333332,27.450189238689756,26.311196522639374,25.7467833827492,0.6
128.0,27.46243265821973,26.323431289309138,25.75897622259761,0.6
129.06666666666666,27.474577460374224,26.33556887003823,25.77107351010968,0.6
130.13333333333333,27.48662451016241,26.347610034819006,25.783075922474694,0.6
131.2,27.498574660726433,26.359555547665757,25.794984136541004,0.6
132.26666666666665,27.51042875374225,26.371406166653777,25.80679882850931,0.6
133.33333333333334,27.52218761979839,26.383162643958375,25.818520673647463,0.6
134.4,27.53385207875413,26.39482572589409,25.8301503460252,0.6
135.46666666666667,27.545422940078094,26.40639615295421,25.841688518267983,0.6
136.53333333333333,27.556901003168825,26.41787465985024,25.853135861328248,0.6
137.6,27.568287057658,26.429261975551597,25.86449304427334,0.6
138.66666666666666,27.579581883697685,26.440558823325315,25.875760734088924,0.6
139.73333333333332,27.59078625223233,26.451765920775877,25.88693959549697,0.6
140.79999999999998,27.60190092525664,26.462883979884886,25.898030290787364,0.6
141.86666666666667,27.61292665605998,26.47391370705091,25.90903347966231,0.6
