time(s),tempTec,tempMilieu,tempLaser
0.0,24.0,24.0,24.0
1.0666666666666667,24.325995579866035,24.001543753241585,24.000000000046157
2.1333333333333333,24.52684386937172,24.016549700087975,24.000001096489417
3.1999999999999997,24.67726354336094,24.04297749276227,24.00004380250332
4.266666666666667,24.805116277805396,24.074818491263724,24.00032012243473
5.333333333333333,24.920604941572186,24.109640194547335,24.00115381741103
6.3999999999999995,25.028128978901144,24.146462898781703,24.002878361751527
7.466666666666667,25.129753632781252,24.184762689142236,24.00576508074278
8.533333333333333,25.226554728286537,24.224178536970072,24.010004848871258
9.6,25.319172954604834,24.264430134621026,24.015715036573066
10.666666666666666,25.408046476233807,24.305291906210865,24.022954357936733
11.733333333333333,25.49351021337191,24.34658143497601,24.031737840527445
12.799999999999999,25.575839520197665,24.388151719929148,24.042049265684106
13.866666666666665,25.655270510569224,24.42988483283392,24.0538506948716
14.933333333333334,25.732010426384186,24.47168651337071,24.067089495697346
16.0,25.806243621105587,24.513481617538798,24.081703441798535
17.066666666666666,25.87813548938843,24.555210355186265,24.097624395674675
18.133333333333333,25.947835332985075,24.59682522544886,24.114780966867926
19.2,26.01547859904934,24.638288545243313,24.133100430988186
20.266666666666666,26.081188697202613,24.6795704681779,24.152510112758083
21.333333333333332,26.145078504971135,24.720647402143236,24.172938377148714
22.4,26.207251628731107,24.761500747711676,24.19431533141949
23.466666666666665,26.267803466966598,24.802115893169763,24.21657331226627
24.53333333333333,26.326822111469212,24.842481414184576,24.239647212331963
25.599999999999998,26.384389114907464,24.88258843637128,24.263474686255105
26.666666666666664,26.44058014791545,24.922430127443995,24.287996266342148
27.73333333333333,26.495465564681307,24.962001292422677,24.3131554106049
28.8,26.54911089260983,25.00129805080294,24.33889850047702
29.866666666666667,26.601577258822626,25.04031757892578,24.365174801459208
30.933333333333334,26.65292176394106,25.07905790422692,24.391936396865518
32.0,26.703197811690842,25.117517740780055,24.419138102491555
33.06666666666666,26.752455401308385,25.15569635771973,24.446737368216098
34.13333333333333,26.800741388457727,25.193593473854662,24.474694171147593
35.199999999999996,26.848099719334705,25.23120917315168,24.502970903840332
36.266666666666666,26.894571641798485,25.2685438368593,24.531532260258725
37.33333333333333,26.940195896691915,25.30559808890426,24.56034512150865
38.4,26.985008891965073,25.34237275188237,24.589378442840594
39.46666666666667,27.029044861771272,25.378868811511413,24.618603143028718
40.53333333333333,27.072336012345783,25.41508738784812,24.647991996917998
41.6,27.114912656185485,25.45102971191726,24.677519531690127
42.666666666666664,27.156803335810093,25.486697106675603,24.707161927211335
43.733333333333334,27.198034938192524,25.522090971452396,24.736896920681957
44.8,27.23863280078732,25.557212769181675,24.7667037156971
45.86666666666667,27.278620809956397,25.59206401588055,24.796562895744604
46.93333333333333,27.318021492484384,25.626646271937837,24.826456342104095
48.0,27.35685610078699,25.66096113486468,24.856367156064433
49.06666666666666,27.395144692342207,25.695010233229244,24.886279585343814
50.13333333333333,27.43290620381255,25.72879522155307,24.91617895457307
51.199999999999996,27.470158520274154,25.762317775990415,24.946051599687028
52.266666666666666,27.506918539925266,25.795579590648444,24.975884806059135
53.33333333333333,27.54320223460804,25.82858237443284,25.005666750209045
54.4,27.579024706446656,25.86132784832715,25.035386444911286
55.46666666666666,27.614400240875636,25.893817743031263,25.06503368753393
56.53333333333333,27.64934235630898,25.92605379689919,25.094599011438962
57.6,27.68386385067884,25.95803775412742,25.12407364028008
58.666666666666664,27.7179768450542,25.989771363154794,25.15344944503926
59.733333333333334,27.75169282453304,26.021256375241258,25.182718903648666
60.8,27.785022676586795,26.052494543199916,25.21187506305151
61.86666666666667,27.817976727022668,26.083487620260456,25.24091150356132
62.93333333333333,27.85056477371707,26.114237359046417,25.26982230538629
64.0,27.882796118262828,26.144745510651536,25.298602017191776
65.06666666666666,27.914679595662808,26.175013823803166,25.327245626580385
66.13333333333333,27.946223602193246,26.205044044102294,25.355748532375998
67.2,27.977436121552255,26.23483791333182,25.384106518603765
68.26666666666667,28.00832474940081,26.26439716882559,25.41231573006443
69.33333333333333,28.03889671639685,26.293723542892167,25.440372649406992
70.39999999999999,28.069158909816164,26.322818762287824,25.468274075609127
71.46666666666667,28.099117893848206,26.351684547734376,25.496017103780254
72.53333333333333,28.128779928648807,26.380322613477542,25.52359910620686
73.6,28.158150988226833,26.40873466688262,25.55101771456461
74.66666666666666,28.18723677723708,26.436922408064135,25.578270803226133
75.73333333333333,28.216042746746577,26.46488752954685,25.605356473597784
76.8,28.244574109038023,26.49263171595565,25.632273039422344
77.86666666666666,28.27283585150951,26.520156643732005,25.65901901298894
78.93333333333334,28.30083274972616,26.547463980875207,25.685593092194292
80.0,28.328569379675933,26.57455538670629,25.71199414840361
81.06666666666666,28.356050129278604,26.601432511653393,25.738221215061856
82.13333333333333,28.38327920919372,26.628096997056588,25.764273477009404
83.2,28.410260662970604,26.654550474991073,25.790150260459153
84.26666666666667,28.436998376581005,26.680794568107608,25.815851023594302
85.33333333333333,28.463496087372025,26.706830889488653,25.84137534774872
86.39999999999999,28.489757392475138,26.732661042519293,25.866722929134223
87.46666666666667,28.515785756704577,26.758286620772065,25.891893571081273
88.53333333333333,28.541584519976333,26.783709207904582,25.916887176761232
89.6,28.567156904277418,26.808930377569183,25.941703742361113
90.66666666666666,28.59250602021276,26.833951693333763,25.96634335068244
91.73333333333333,28.617634873155595,26.858774708613016,25.99080616513867
92.8,28.642546369025904,26.88340096660955,26.015092424126355
93.86666666666666,28.66724331971938,26.907832000263813,26.039202435747228
94.93333333333334,28.69172844820869,26.932069332212865,26.063136572859552
96.0,28.716004393336707,26.95611447475681,26.08689526843855
97.06666666666666,28.740073714321007,26.979968929832523,26.110479011226865
98.13333333333333,28.763938894986932,27.003634188994592,26.133888341657237
99.2,28.787602347746077,27.027111733402336,26.15712384803064
100.26666666666667,28.811066417335784,27.050403033812888,26.18018616293411
101.33333333333333,28.834333384334073,27.073509550579978,26.203075959883616
102.39999999999999,28.857405468464126,27.0964327336576,26.22579395017805
103.46666666666667,28.88028483170065,27.11917402260886,26.248340879951346
104.53333333333333,28.902973581190803,27.141734846618927,26.2707175274105
105.6,28.925473772000807,27.16411662451243,26.292924700248182
106.66666666666666,28.947787409698666,27.186320764774614,26.314963233218894
107.73333333333333,28.969916452783483,27.208348665576036,26.33683398586902
108.8,28.99186281497027,27.230201714800657,26.358537840410854
109.86666666666666,29.013628367339532,27.25188129007701,26.38007569973197
110.93333333333332,29.035214940359484,27.273388758812263,26.401448485531603
112.0,29.056624325789034,27.29472547822877,26.422657136576074
113.06666666666666,29.07785827846848,27.31589279540337,26.44370260706601
114.13333333333333,29.098918518005103,27.336892047308503,26.464585865108468
115.2,29.119806730359755,27.35772456085586,26.48530789128735
116.26666666666667,29.140524569340773,27.378391652941723,26.50586967732628
117.33333333333333,29.16107365801069,27.39889463049391,26.526272224838024
118.39999999999999,29.18145559001104,27.41923479052084,26.546516544155125
119.46666666666667,29.201671930810374,27.439413420161426,26.5666036532369
120.53333333333333,29.221724218880187,27.45943179673689,26.58653457664788
121.6,29.241613966802834,27.47929118780344,26.606310344603344
122.66666666666666,29.26134266231609,27.498992851206392,26.62593199207786
123.73333333333333,29.28091176929764,27.518538035134984,26.645400557972813
124.8,29.300322728693686,27.537927978178303,26.66471708433935
125.86666666666666,29.31957695939466,27.557163909382066,26.683882615653328
126.93333333333332,29.338675859061425,27.57624704830605,26.70289819813888
128.0,29.357620804904986,27.59517860508231,26.72176487913777
