Time,T1Mesure,T2Mesure,T3Mesure,T3Estimation,Consigne
400.0,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.05,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.1,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.15,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.2,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.25,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.3,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.35,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.4,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.45,18.6492004071338,19.5879477359044,20.0710100848024,19.9997729553441,20
400.5,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.55,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.6,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.65,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.7,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.75,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.8,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.85,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.9,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
400.95,18.6223832380181,19.561118567509,20.0441654733384,20.0008066300349,20
401.0,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.05,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.1,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.15,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.2,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.25,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.3,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.35,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.4,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.45,18.5955660603305,19.5342900728234,20.0173218845233,20.0010745917737,20
401.5,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.55,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.6,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.65,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.7,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.75,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.8,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.85,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.9,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
401.95,18.6492004071338,19.5879477359044,20.0710100848024,20.0006022204522,20
402.0,18.6492004071338,19.5879477359044,20.0710100848024,20.001610436818,20
402.05,18.6492004071338,19.5879477359044,20.0710100848024,20.001610436818,20
402.1,18.6492004071338,19.5879477359044,20.0710100848024,20.001610436818,20
402.15,18.6492004071338,19.5879477359044,20.0710100848024,20.001610436818,20
