Time,T1Mesure,T2Mesure,T3Mesure,TECEntr_e_SortieAmpli,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWM_V_,TECSortie,T3Vmesure,T2Vmesure,T1Vmesure,T1R_sistance,T2R_sistance,T3R_sistance
0,23.4953558238256,23.4953558238256,23.4953558238256,-0.8,0,0,23.5,0,0,20,0,0,0,5,-2.52512,2.08920816613497,2.08920816613497,2.08920816613497,10683.2646161957,10683.2646161957,10683.2646161957
0.05,23.4953558238256,23.4953558238256,23.4953558238256,-0.00415990169457089,0,0,23.5,2.48700030720447,0,20,0,0,0,0,-0.0131303137087436,2.09873087914806,2.09873200581115,2.09923403743543,10684.5705402454,10683.2688345162,10683.2659134028
0.1,23.4953558238256,23.4953558238256,23.4953558238256,-0.00215392179716687,0,0,23.5,2.49326899438385,0,20,0,0,0,5,-0.00679863876057752,2.08351532715124,2.08351775510326,2.08402832729352,10684.5975671281,10683.2737147286,10683.2674197453
0.15,23.4953558238256,23.4953558238256,23.4953558238256,-0.00408701402017812,0,0,23.5,2.48722808118694,0,20,0,0,0,0,-0.0129002510532902,2.09356632846416,2.09357007430539,2.09408918895069,10684.6246699097,10683.2786658639,10683.2689539688
0.2,23.4953558238256,23.4953558238256,23.4953558238256,-0.00222144175798945,0,0,23.5,2.49305799450628,0,20,0,0,0,5,-0.00701175876491791,2.08845846029318,2.0884635404669,2.08899112002152,10684.6516421323,10683.2836874429,10683.270516001
0.25,23.4953558238256,23.4953558238256,23.4953558238256,-0.00401210111525387,0,0,23.5,2.48746218401483,0,20,0,0,0,0,-0.0126637959601873,2.08571946826604,2.08572589905517,2.08626195964817,10684.6787262064,10683.2887789723,10683.2721057644
0.3,23.4953558238256,23.4953558238256,23.4953558238256,-0.00230310875192956,0,0,23.5,2.49280278515022,0,20,0,0,0,5,-0.00726953246459045,2.08322519566623,2.0832329931993,2.08377744757513,10684.7056535771,10683.2939399805,10683.2737231874
0.35,23.4953558238256,23.4953558238256,23.4953558238256,-0.00392370931214145,0,0,23.5,2.48773840839956,0,20,0,0,0,0,-0.0123847960728433,2.08818650293233,2.0881956831799,2.08874855743933,10684.7327176986,10683.2991699809,10683.2753681933
0.4,23.4953558238256,23.4953558238256,23.4953558238256,-0.00239732870218333,0,0,23.5,2.49250834780568,0,20,0,0,0,5,-0.00756692831557146,2.09024751412056,2.0902580929008,2.09081929103637,10684.7596014681,10683.3044685072,10683.2770407103
0.45,23.4953558238256,23.4953558238256,23.4953558238256,-0.00382392971537115,0,0,23.5,2.48805021963947,0,20,0,0,0,0,-0.0120698517535975,2.08872392385487,2.08873591683037,2.08930547394064,10684.7866443746,10683.3098350798,10683.2787406623
0.5,23.4682237548101,23.4682237548101,23.4682237548101,-0.00250202994838929,0,0,23.5,2.49218115641128,0,20,0,0,0,5,-0.00789740732909596,2.08993943722445,2.08995285990733,2.09053067226261,10684.8134859621,10683.3152692371,10683.2804679779
0.55,23.4682237548101,23.4682237548101,23.4682237548101,-0.00371478137885703,0,0,23.5,2.48839130819107,0,20,0,0,0,0,-0.0117253359442243,2.08987228288017,2.08988715062943,2.09047326122786,10684.8405062373,10683.3207705067,10683.2822225813
0.6,23.4682237548101,23.4682237548101,23.4682237548101,-0.00261521186227398,0,0,23.5,2.49182746293039,0,20,0,0,0,5,-0.00825465472208159,2.08689324216961,2.08690957019557,2.08750386872821,10684.8673072018,10683.3263384316,10683.2840044012
0.65,23.4682237548101,23.4682237548101,23.4682237548101,-0.00359821357943275,0,0,23.5,2.48875558256427,0,20,0,0,0,0,-0.0113574013421215,2.0934225698614,2.09344037322371,2.09404290938775,10684.8943033035,10683.3319725465,10683.2858133626
0.7,23.4682237548101,23.4682237548101,23.4682237548101,-0.00273494395485372,0,0,23.5,2.49145330014108,0,20,0,0,0,5,-0.00863257709910028,2.08511996446066,2.08513925807205,2.08574991621376,10684.9210653154,10683.3376723989,10683.287649394
0.75,23.4682237548101,23.4682237548101,23.4682237548101,-0.00347610769956987,0,0,23.5,2.48913716343884,0,20,0,0,0,0,-0.0109719863429223,2.07758900583987,2.07760980446487,2.07822863969913,10684.948035603,10683.3434375306,10683.2895124212
0.8,23.4682237548101,23.4682237548101,23.4682237548101,-0.00285936312055313,0,0,23.5,2.49106449024827,0,20,0,0,0,5,-0.00902529375371389,2.08029214771172,2.08031446596969,2.08094135860352,10684.9747604186,10683.3492674935,10683.2914023726
0.85,23.4682237548101,23.4682237548101,23.4682237548101,-0.00335027793467532,0,0,23.5,2.48953038145414,0,20,0,0,0,0,-0.0105748172730092,2.0960474640991,2.09607131646357,2.09670632568729,10685.0017031792,10683.3551618364,10683.2933191747
0.9,23.4682237548101,23.4682237548101,23.4682237548101,-0.00298667327060954,0,0,23.5,2.49066664602935,0,20,0,0,0,5,-0.00942713551135196,2.08553232840517,2.08555772920619,2.08620073264378,10685.0283926134,10683.3611201155,10683.295262756
0.95,23.4682237548101,23.4682237548101,23.4682237548101,-0.00322247267207473,0,0,23.5,2.48992977289977,0,20,0,0,0,0,-0.0101714127421367,2.08304612639689,2.08307308982112,2.0837241493553,10685.0553060873,10683.3671418867,10683.2972330437
1,23.5224914060453,23.5224914060453,23.5224914060453,-0.00311514366256901,0,0,23.5,2.49026517605447,0,20,0,0,0,5,-0.00983263945653283,2.08361606026044,2.08364460035272,2.08430359231158,10685.0819619886,10683.3732267103,10683.2992299659
1.05,23.5224914060453,23.5224914060453,23.5224914060453,-0.00309437759128599,0,0,23.5,2.49033007002723,0,20,0,0,0,0,-0.0097670934291351,2.08404952728931,2.08407965795347,2.08474664550872,10685.1088443959,10683.379374149,10683.3012534508
1.1,23.5224914060453,23.5224914060453,23.5224914060453,-0.00324310805277733,0,0,23.5,2.48986528733507,0,20,0,0,0,5,-0.0102365462577864,2.08528585396902,2.08531758896865,2.0859924485506,10685.135468621,10683.3855837674,10683.3033034266
1.15,23.5224914060453,23.5224914060453,23.5224914060453,-0.00296761644636931,0,0,23.5,2.4907261986051,0,20,0,0,0,0,-0.00936698455132008,2.08524636403124,2.08527971699135,2.08596251165508,10685.1623181845,10683.3918551352,10683.3053798219
1.2,23.5224914060453,23.5224914060453,23.5224914060453,-0.00336895508992626,0,0,23.5,2.48947201534398,0,20,0,0,0,5,-0.0106337698458432,2.08654953504053,2.08658451944748,2.08727512711777,10685.1889125776,10683.3981878208,10683.3074825649
1.25,23.5224914060453,23.5224914060453,23.5224914060453,-0.00284374855276099,0,0,23.5,2.49111328577262,0,20,0,0,0,0,-0.00897600793193477,2.09454666443858,2.09458329364244,2.09528177586629,10685.215727544,10683.4045814008,10683.3096115851
1.3,23.5224914060453,23.5224914060453,23.5224914060453,-0.00349114829019044,0,0,23.5,2.48909016159315,0,20,0,0,0,5,-0.0110194604631571,2.08789919134726,2.08793747856105,2.08864371612567,10685.24229391,10683.4110354476,10683.3117668104
1.35,23.5224914060453,23.5224914060453,23.5224914060453,-0.00272427991631432,0,0,23.5,2.49148662526152,0,20,0,0,0,0,-0.00859891712785451,2.09355425393139,2.09359421223415,2.09430826382081,10685.2690725741,10683.4175495445,10683.3139481712
1.4,23.5224914060453,23.5224914060453,23.5224914060453,-0.00360820638216026,0,0,23.5,2.48872435505575,0,20,0,0,0,5,-0.0113889426246507,2.09116712189935,2.09120876423465,2.09193051481946,10685.2956126585,10683.424123268,10683.3161555952
1.45,23.5224914060453,23.5224914060453,23.5224914060453,-0.00261063619629326,0,0,23.5,2.49184176188658,0,20,0,0,0,0,-0.00824021208998004,2.08913157480853,2.08917491398821,2.08990441808489,10685.3223534004,10683.4307562077,10683.3183890135
1.5,23.4953558238256,23.5224914060453,23.5224914060453,-0.00371868958501949,0,0,23.5,2.48837909504681,0,20,0,0,0,5,-0.0117376718061555,2.08480748140789,2.08485253010985,2.08558967814332,10685.348868861,10683.4374479442,10683.3206483539
1.55,23.4953558238256,23.5224914060453,23.5224914060453,-0.00250422983905494,0,0,23.5,2.49217428175295,0,20,0,0,0,0,-0.00790435106399302,2.08540231085044,2.0854490816231,2.08619392269771,10685.3755701285,10683.4441980738,10683.3229335482
1.6,23.4953558238256,23.5224914060453,23.5224914060453,-0.0038212016382893,0,0,23.5,2.48805874488035,0,20,0,0,0,5,-0.0120612408510963,2.08645679345615,2.08650529871554,2.08725772990641,10685.4020625393,10683.4510061808,10683.3252445239
1.65,23.4953558238256,23.5224914060453,23.5224914060453,-0.00240637406722556,0,0,23.5,2.49248008103992,0,20,0,0,0,0,-0.00759547910579075,2.08165131082219,2.08170156285704,2.08246162669206,10685.42872289,10683.4578718677,10683.3275812136
1.7,23.4953558238256,23.5224914060453,23.5224914060453,-0.00391453226774146,0,0,23.5,2.48776708666331,0,20,0,0,0,5,-0.0123558296498992,2.09762754784773,2.0976795588159,2.09844716013453,10685.4551937082,10683.4647947231,10683.3299435449
1.75,23.4953558238256,23.5224914060453,23.5224914060453,-0.00231836047455658,0,0,23.5,2.49275512351701,0,20,0,0,0,0,-0.0073176730018904,2.09219772490906,2.09225150684322,2.09302668052999,10685.4818118425,10683.4717743556,10683.332331451
1.8,23.4953558238256,23.5224914060453,23.5224914060453,-0.00399729896969404,0,0,23.5,2.48750844071971,0,20,0,0,0,5,-0.0126170744679423,2.08438386116191,2.08443942596551,2.08522208561913,10685.5082623591,10683.4788103577,10683.3347448594
1.85,23.4953558238256,23.5224914060453,23.5224914060453,-0.00224089533512654,0,0,23.5,2.49299720207773,0,20,0,0,0,0,-0.00707316203579341,2.08297959071368,2.08303695016697,2.08382712214943,10685.5348372979,10683.485902344,10683.3371837039
1.9,23.4953558238256,23.5224914060453,23.5224914060453,-0.00406788304635498,0,0,23.5,2.48728786548014,0,20,0,0,0,5,-0.0128398660475149,2.08685397351893,2.08691313927451,2.0877107467393,10685.561268607,10683.4930499113,10683.3396479122
