Temps (s),T1 (�C),T2 (�C),T3 (�C)  courant tec = 500mA, perturbation à 50secondes
Temps (s), T1 (�C), T2 (�C), T3 (�C)
194,31.44,30.46,29.06
195,31.44,30.46,29.06
196,31.47,30.50,29.06
197,31.47,30.48,29.06
198,31.47,30.50,29.08
199,31.47,30.53,29.08
200,31.49,30.50,29.10
201,31.49,30.53,29.12
202,31.49,30.53,29.14
203,31.51,30.55,29.14
204,31.51,30.55,29.17
205,31.53,30.57,29.17
206,31.53,30.55,29.17
207,31.58,30.57,29.19
208,31.58,30.59,29.21
209,31.58,30.61,29.21
210,31.60,30.64,29.21
211,31.60,30.61,29.25
212,31.60,30.61,29.25
213,31.62,30.66,29.25
214,31.62,30.68,29.25
215,31.60,30.70,29.27
216,31.64,30.70,29.27
217,31.64,30.72,29.29
218,31.66,30.72,29.34
219,31.69,30.74,29.32
220,31.69,30.74,29.34
221,31.69,30.77,29.36
222,31.71,30.77,29.34
223,31.71,30.74,29.36
224,31.73,30.77,29.36
225,31.75,30.77,29.38
226,31.75,30.79,29.38
227,31.75,30.81,29.36
228,31.75,30.81,29.40
229,31.80,30.83,29.42
230,31.80,30.81,29.42
231,31.82,30.87,29.42
232,31.82,30.87,29.47
233,31.82,30.87,29.42
234,31.80,30.87,29.49
235,31.82,30.90,29.49
236,31.84,30.92,29.51
237,31.86,30.92,29.51
238,31.82,30.92,29.51
239,31.86,30.92,29.49
240,31.86,30.92,29.51
241,31.86,30.90,29.53
242,31.86,30.87,29.53
243,31.86,30.92,29.53
244,31.86,30.96,29.53
245,31.91,30.96,29.53
246,31.91,30.98,29.55
247,31.93,30.98,29.55
248,31.93,30.98,29.57
249,31.93,30.98,29.57
250,31.95,30.98,29.60
251,31.95,31.01,29.62
252,31.95,31.03,29.60
253,31.97,31.01,29.60
255,32.00,31.03,29.62
256,31.95,31.03,29.62
257,32.00,31.01,29.62
258,32.00,31.03,29.64
259,32.02,31.03,29.64
260,32.00,31.05,29.64
261,32.02,31.07,29.64
262,32.00,31.09,29.66
263,32.04,31.09,29.68
264,32.02,31.09,29.68
265,32.02,31.09,29.70
266,32.04,31.12,29.70
267,32.04,31.12,29.68
268,32.04,31.09,29.72
269,32.04,31.12,29.72
270,32.04,31.14,29.72
271,32.06,31.14,29.72
272,32.06,31.14,29.72
273,32.04,31.14,29.72
274,32.06,31.16,29.72
275,32.08,31.16,29.72
276,32.08,31.18,29.75
277,32.08,31.20,29.75
278,32.11,31.20,29.72
279,32.08,31.22,29.75
280,32.08,31.22,29.75
281,32.08,31.22,29.75
282,32.08,31.22,29.77
283,32.08,31.22,29.79
284,32.08,31.25,29.79
285,32.11,31.22,29.79
286,32.13,31.22,29.79
287,32.15,31.22,29.79
288,32.17,31.25,29.79
289,32.15,31.22,29.81
290,32.17,31.25,29.79
291,32.15,31.22,29.81
292,32.13,31.25,29.79
293,32.15,31.25,29.79
294,32.15,31.25,29.81
295,32.15,31.27,29.88
296,32.15,31.29,29.88
297,32.17,31.27,29.83
298,32.11,31.27,29.85
299,32.15,31.27,29.85
300,32.15,31.29,29.85
301,32.17,31.27,29.85
302,32.17,31.27,29.88
303,32.17,31.29,29.90
304,32.19,31.29,29.88
305,32.19,31.25,29.90
306,32.17,31.29,29.88
307,32.19,31.31,29.90
308,32.15,31.29,29.90
309,32.19,31.31,29.92
310,32.19,31.29,29.94
311,32.19,31.33,29.94
312,32.22,31.31,29.94
313,32.22,31.33,29.94
314,32.22,31.33,29.98
315,32.15,31.33,29.96
316,32.17,31.33,29.96
317,32.15,31.33,30.01
318,32.17,31.36,30.01
319,32.15,31.33,30.01
320,32.15,31.33,29.98
321,32.15,31.36,29.98
322,32.17,31.36,30.01
323,32.19,31.40,29.98
324,32.19,31.38,29.98
325,32.22,31.38,29.96
326,32.22,31.36,29.98
327,32.22,31.40,29.98
328,32.22,31.40,29.98
329,32.22,31.40,30.01
330,32.22,31.40,30.01
331,32.22,31.40,30.01
332,32.22,31.38,29.98
333,32.22,31.38,30.03
334,32.24,31.38,30.01
335,32.22,31.36,30.03
336,32.22,31.36,30.03
337,32.19,31.38,30.03
338,32.19,31.40,30.01
339,32.19,31.40,30.05
340,32.17,31.40,30.07
341,32.19,31.42,30.07
342,32.19,31.42,30.09
343,32.22,31.40,30.11
344,32.19,31.42,30.11
345,32.19,31.42,30.09
346,32.19,31.42,30.07
347,32.22,31.42,30.05
348,32.22,31.42,30.07
349,32.22,31.42,30.07
350,32.24,31.44,30.07
351,32.26,31.44,30.05
352,32.24,31.44,30.07
353,32.26,31.44,30.09
354,32.28,31.42,30.07
355,32.28,31.44,30.07
356,32.31,31.47,30.07
357,32.31,31.44,30.05
358,32.28,31.47,30.03
359,32.28,31.49,30.07
360,32.28,31.49,30.07
361,32.28,31.47,30.07
362,32.28,31.47,30.09
363,32.31,31.49,30.09
364,32.28,31.49,30.09
365,32.28,31.47,30.09
366,32.26,31.47,30.07
367,32.28,31.47,30.07
368,32.28,31.47,30.11
369,32.31,31.47,30.07
370,32.31,31.47,30.09
371,32.31,31.42,30.07
372,32.26,31.47,30.09
373,32.28,31.49,30.07
374,32.31,31.47,30.09
375,32.31,31.47,30.09
376,32.31,31.47,30.11
377,32.31,31.49,30.09
378,32.33,31.49,30.07
379,32.31,31.47,30.09
380,32.31,31.49,30.09
381,32.35,31.49,30.07
382,32.33,31.49,30.09
383,32.33,31.49,30.09
384,32.35,31.49,30.09
385,32.33,31.51,30.11
386,32.33,31.49,30.11
387,32.35,31.51,30.14
388,32.35,31.49,30.14
389,32.35,31.51,30.14
390,32.33,31.51,30.16
391,32.31,31.47,30.16
392,32.35,31.49,30.16
393,32.35,31.49,30.14
394,32.37,31.49,30.16
395,32.37,31.49,30.16
396,32.39,31.51,30.14
397,32.37,31.51,30.14
398,32.37,31.51,30.14
399,32.37,31.53,30.11
400,32.37,31.53,30.20
401,32.39,31.55,30.18
402,32.37,31.55,30.18
403,32.44,31.55,30.18
404,32.42,31.58,30.20
405,32.44,31.58,30.20
406,32.42,31.58,30.22
407,32.46,31.60,30.22
408,32.44,31.60,30.22
409,32.44,31.62,30.24
410,32.44,31.62,30.24
411,32.46,31.60,30.24
412,32.46,31.62,30.22
413,32.46,31.62,30.27
414,32.46,31.64,30.24
415,32.48,31.64,30.24
416,32.48,31.64,30.24
417,32.48,31.64,30.27
418,32.46,31.64,30.29
419,32.48,31.62,30.29
420,32.46,31.62,30.29
421,32.46,31.62,30.31
422,32.48,31.62,30.24
423,32.42,31.64,30.29
424,32.42,31.64,30.24
425,32.44,31.62,30.29
426,32.44,31.62,30.31
427,32.39,31.62,30.29
428,32.46,31.66,30.31
429,32.46,31.64,30.29
430,32.48,31.62,30.33
431,32.48,31.66,30.33
432,32.51,31.66,30.35
433,32.51,31.64,30.35
434,32.48,31.66,30.33
435,32.51,31.66,30.33
436,32.51,31.64,30.37
437,32.53,31.66,30.37
438,32.51,31.69,30.35
439,32.53,31.69,30.40
440,32.53,31.69,30.40
441,32.51,31.71,30.40
442,32.53,31.69,30.40
443,32.57,31.69,30.40
444,32.53,31.71,30.44
445,32.55,31.69,30.44
446,32.57,31.69,30.44
447,32.53,31.71,30.46
448,32.51,31.71,30.46
449,32.55,31.71,30.48
450,32.55,31.73,30.48
451,32.51,31.71,30.48
452,32.55,31.71,30.48
453,32.53,31.71,30.46
454,32.55,31.71,30.48
455,32.53,31.69,30.48
456,32.57,31.73,30.46
457,32.55,31.73,30.46
458,32.57,31.73,30.42
459,32.57,31.75,30.42
460,32.57,31.73,30.42
461,32.57,31.75,30.42
462,32.59,31.77,30.40
463,32.62,31.73,30.44
464,32.59,31.75,30.44
465,32.62,31.80,30.42
466,32.62,31.80,30.40
467,32.62,31.80,30.44
468,32.62,31.80,30.42
469,32.62,31.82,30.44
470,32.59,31.80,30.42
471,32.59,31.80,30.40
472,32.62,31.80,30.40
473,32.57,31.80,30.40
474,32.57,31.77,30.42
475,32.57,31.77,30.42
476,32.59,31.77,30.40
477,32.62,31.77,30.44
478,32.62,31.77,30.46
479,32.59,31.77,30.46
480,32.62,31.80,30.48
481,32.64,31.77,30.46
482,32.62,31.80,30.46
483,32.59,31.82,30.46
484,32.62,31.82,30.48
485,32.62,31.82,30.48
486,32.59,31.82,30.48
487,32.64,31.80,30.46
488,32.64,31.80,30.46
489,32.64,31.82,30.46
490,32.62,31.82,30.46
491,32.64,31.82,30.44
492,32.62,31.82,30.42
493,32.64,31.80,30.42
494,32.64,31.82,30.44
495,32.59,31.82,30.42
496,32.64,31.82,30.42
497,32.62,31.82,30.42
498,32.64,31.80,30.42
499,32.62,31.82,30.40
500,32.62,31.82,30.37
501,32.64,31.80,30.40
502,32.64,31.80,30.40
503,32.62,31.80,30.40
504,32.62,31.82,30.42
505,32.64,31.80,30.40
506,32.62,31.77,30.40
508,32.62,31.80,30.42
509,32.62,31.80,30.42
510,32.64,31.80,30.42
511,32.64,31.82,30.42
512,32.66,31.82,30.44
513,32.64,31.82,30.40
514,32.64,31.82,30.44
515,32.62,31.82,30.46
516,32.64,31.82,30.46
517,32.62,31.82,30.42
518,32.57,31.82,30.44
519,32.62,31.80,30.46
520,32.62,31.82,30.44
521,32.59,31.84,30.44
522,32.64,31.80,30.48
523,32.66,31.84,30.46
524,32.64,31.82,30.48
525,32.66,31.82,30.48
526,32.66,31.82,30.50
527,32.62,31.82,30.50
528,32.64,31.82,30.53
529,32.66,31.82,30.48
530,32.64,31.82,30.48
531,32.64,31.82,30.48
532,32.64,31.84,30.48
533,32.62,31.82,30.46
534,32.64,31.84,30.46
535,32.64,31.86,30.53
536,32.64,31.86,30.50
537,32.66,31.86,30.53
538,32.66,31.86,30.53
539,32.66,31.86,30.55
540,32.66,31.86,30.55
541,32.66,31.86,30.57
542,32.71,31.86,30.55
543,32.71,31.88,30.55
544,32.71,31.84,30.59
545,32.71,31.86,30.59
546,32.73,31.86,30.61
547,32.71,31.86,30.59
548,32.73,31.84,30.61
549,32.71,31.82,30.61
550,32.71,31.86,30.64
551,32.68,31.84,30.64
552,32.68,31.86,30.61
553,32.68,31.82,30.61
554,32.66,31.84,30.61
555,32.62,31.84,30.61
556,32.62,31.84,30.59
557,32.59,31.84,30.59
558,32.59,31.82,30.59
559,32.64,31.84,30.61
560,32.64,31.84,30.59
561,32.66,31.84,30.57
562,32.66,31.82,30.59
563,32.66,31.86,30.59
564,32.66,31.86,30.57
565,32.66,31.86,30.57
566,32.66,31.88,30.53
567,32.66,31.86,30.55
568,32.66,31.88,30.53
569,32.68,31.88,30.53
570,32.71,31.88,30.55
571,32.71,31.86,30.55
572,32.71,31.84,30.53
573,32.71,31.86,30.53
574,32.71,31.88,30.50
575,32.68,31.88,30.53
576,32.68,31.88,30.53
577,32.71,31.86,30.53
578,32.71,31.88,30.50
579,32.73,31.84,30.53
580,32.71,31.88,30.55
581,32.71,31.88,30.53
582,32.73,31.86,30.53
583,32.73,31.88,30.53
584,32.71,31.91,30.50
585,32.73,31.88,30.53
586,32.73,31.91,30.50
587,32.73,31.88,30.50
588,32.73,31.88,30.48
589,32.73,31.88,30.53
590,32.73,31.88,30.50
591,32.73,31.88,30.53
592,32.73,31.93,30.50
593,32.73,31.93,30.50
594,32.75,31.93,30.50
595,32.73,31.88,30.50
596,32.73,31.93,30.48
597,32.75,31.93,30.50
598,32.73,31.93,30.53
599,32.73,31.93,30.53
600,32.71,31.93,30.55
601,32.73,31.93,30.53
602,32.73,31.95,30.53
603,32.75,31.93,30.53
604,32.75,31.95,30.50
605,32.75,31.95,30.50
606,32.73,31.93,30.53
607,32.73,31.95,30.55
608,32.75,31.93,30.55
609,32.75,31.93,30.55
610,32.75,31.93,30.53
611,32.75,31.95,30.55
612,32.75,31.95,30.53
613,32.75,31.95,30.53
614,32.77,31.95,30.55
615,32.77,31.95,30.50
616,32.75,31.95,30.50
617,32.75,31.95,30.53
618,32.75,31.95,30.55
619,32.75,31.95,30.53
620,32.75,31.95,30.57
621,32.80,31.95,30.55
622,32.80,31.93,30.55
623,32.80,31.91,30.57
624,32.80,31.93,30.57
625,32.80,31.95,30.57
626,32.75,31.95,30.57
627,32.77,31.97,30.57
628,32.77,31.97,30.57
629,32.77,31.97,30.59
630,32.80,31.95,30.61
631,32.77,31.97,30.61
632,32.80,32.00,30.61
633,32.80,31.97,30.66
634,32.80,31.97,30.66
635,32.75,31.97,30.68
636,32.75,32.00,30.61
637,32.75,31.95,30.64
638,32.77,32.00,30.66
639,32.75,32.00,30.66
640,32.77,32.00,30.64
641,32.80,32.00,30.64
642,32.75,32.02,30.64
643,32.80,32.00,30.61
644,32.82,32.00,30.61
645,32.82,31.97,30.64
646,32.82,32.00,30.64
647,32.84,31.97,30.64
648,32.80,32.02,30.64
649,32.82,32.02,30.64
650,32.80,32.00,30.64
651,32.77,32.00,30.64
652,32.80,32.00,30.64
653,32.77,31.97,30.64
654,32.75,32.00,30.64
655,32.75,32.00,30.64
656,32.75,31.97,30.64
657,32.71,32.02,30.64
658,32.75,32.00,30.64
659,32.71,32.02,30.64
660,32.75,32.04,30.59
661,32.71,32.02,30.61
662,32.71,32.02,30.57
663,32.75,31.97,30.59
664,32.75,32.00,30.57
665,32.75,32.00,30.59
666,32.75,32.00,30.59
667,32.75,32.02,30.61
668,32.80,32.00,30.57
669,32.77,31.97,30.59
670,32.75,31.97,30.57
671,32.75,31.97,30.57
672,32.75,31.97,30.61
673,32.77,32.00,30.64
674,32.80,31.97,30.61
675,32.80,31.95,30.64
676,32.82,32.00,30.66
677,32.82,31.97,30.68
678,32.82,32.02,30.68
679,32.82,31.97,30.68
680,32.80,31.97,30.68
681,32.80,31.97,30.70
682,32.80,31.95,30.70
683,32.80,32.02,30.68
684,32.77,32.02,30.72
685,32.77,32.02,30.72
686,32.75,32.02,30.74
687,32.75,32.00,30.72
688,32.73,32.02,30.70
689,32.75,32.02,30.70
690,32.75,32.02,30.70
691,32.77,32.02,30.70
692,32.82,32.02,30.70
693,32.80,32.04,30.72
694,32.84,32.02,30.70
695,32.82,32.02,30.70
696,32.82,32.02,30.70
697,32.84,32.04,30.70
698,32.86,32.00,30.70
699,32.84,32.04,30.68
700,32.86,32.02,30.70
701,32.84,32.04,30.70
702,32.77,32.04,30.72
703,32.80,32.04,30.74
704,32.80,32.06,30.72
705,32.82,32.02,30.74
706,32.82,32.08,30.74
707,32.82,32.04,30.74
708,32.84,32.06,30.74
709,32.82,32.06,30.77
710,32.84,32.06,30.77
711,32.84,32.08,30.77
712,32.86,32.08,30.77
713,32.86,32.04,30.79
714,32.86,32.06,30.77
715,32.86,32.06,30.77
716,32.86,32.06,30.79
717,32.88,32.04,30.77
718,32.86,32.06,30.77
719,32.88,32.08,30.79
720,32.84,32.06,30.74
721,32.86,32.04,30.77
722,32.86,32.04,30.74
723,32.86,32.02,30.77
724,32.86,32.06,30.77
725,32.84,32.04,30.77
726,32.82,32.06,30.74
727,32.80,32.06,30.77
728,32.82,32.06,30.79
729,32.82,32.06,30.77
730,32.82,32.06,30.77
731,32.80,32.06,30.77
732,32.80,32.08,30.77
733,32.75,32.08,30.77
734,32.80,32.08,30.79
735,32.77,32.11,30.81
736,32.80,32.08,30.77
737,32.82,32.04,30.81
738,32.77,32.06,30.81
739,32.84,32.11,30.81
740,32.82,32.08,30.79
741,32.82,32.08,30.81
742,32.84,32.11,30.77
743,32.84,32.11,30.79
