Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
757,42.54,38.52,36.14,23.51
758,42.54,38.41,36.14,23.51
759,42.54,38.52,36.14,23.51
760,42.54,38.52,36.14,23.51
761,42.54,38.52,36.14,23.51
762,42.54,38.52,36.14,23.51
763,42.54,38.52,36.14,23.51
764,42.54,38.52,36.14,23.51
765,42.54,38.52,36.14,23.51
766,42.43,38.52,36.14,23.51
767,42.54,38.52,36.14,23.51
768,42.54,38.52,36.14,23.51
769,42.54,38.52,36.04,23.60
770,42.54,38.52,36.14,23.60
771,42.54,38.41,36.14,23.60
772,42.54,38.52,36.14,23.51
773,42.54,38.52,36.14,23.51
774,42.54,38.52,36.14,23.51
775,42.43,38.52,36.14,23.51
776,42.43,38.52,36.04,23.51
777,42.54,38.52,36.14,23.51
778,42.54,38.52,36.14,23.51
779,42.54,38.52,36.14,23.51
780,42.54,38.52,36.14,23.60
781,42.43,38.52,36.24,23.60
782,42.54,38.52,36.24,23.51
783,42.54,38.52,36.14,23.60
784,42.54,38.52,36.24,23.51
785,42.54,38.52,36.24,23.60
786,42.54,38.52,36.24,23.60
787,42.54,38.52,36.24,23.51
788,42.54,38.52,36.24,23.60
789,42.54,38.52,36.24,23.60
790,42.54,38.52,36.24,23.60
791,42.54,38.52,36.24,23.51
792,42.54,38.41,36.14,23.60
793,42.54,38.52,36.14,23.60
794,42.54,38.41,36.14,23.60
795,42.54,38.52,36.14,23.60
796,42.54,38.41,36.14,23.60
797,42.66,38.52,36.14,23.51
798,42.66,38.41,36.14,23.51
799,42.66,38.52,36.14,23.60
800,42.54,38.52,36.14,23.60
801,42.66,38.52,36.04,23.60
802,42.54,38.52,36.14,23.60
803,42.54,38.52,36.14,23.51
804,42.66,38.52,36.14,23.51
805,42.54,38.52,36.14,23.60
806,42.66,38.52,36.14,23.60
807,42.54,38.52,36.14,23.60
808,42.54,38.52,36.14,23.60
810,42.66,38.52,36.14,23.60
811,42.54,38.52,36.24,23.60
812,42.66,38.52,36.24,23.60
813,42.66,38.52,36.24,23.60
814,42.54,38.62,36.24,23.51
815,42.66,38.52,36.24,23.60
816,42.54,38.52,36.35,23.69
817,42.54,38.52,36.35,23.60
818,42.66,38.52,36.24,23.60
819,42.54,38.52,36.35,23.60
820,42.66,38.62,36.24,23.60
821,42.54,38.52,36.24,23.60
822,42.54,38.62,36.24,23.60
823,42.66,38.62,36.24,23.60
824,42.66,38.62,36.24,23.60
825,42.54,38.62,36.24,23.60
826,42.66,38.62,36.24,23.60
827,42.66,38.62,36.24,23.60
828,42.66,38.52,36.24,23.60
829,42.66,38.62,36.24,23.60
830,42.54,38.62,36.24,23.51
831,42.66,38.62,36.24,23.51
832,42.66,38.52,36.24,23.60
833,42.66,38.62,36.24,23.69
834,42.66,38.62,36.24,23.51
835,42.54,38.62,36.24,23.60
836,42.66,38.62,36.24,23.60
837,42.66,38.62,36.24,23.60
838,42.66,38.52,36.24,23.60
839,42.66,38.62,36.24,23.51
840,42.66,38.62,36.24,23.60
841,42.66,38.62,36.24,23.60
842,42.66,38.62,36.24,23.60
843,42.66,38.62,36.24,23.60
844,42.66,38.62,36.24,23.60
845,42.66,38.62,36.24,23.60
846,42.66,38.62,36.24,23.60
847,42.66,38.62,36.35,23.60
848,42.66,38.62,36.35,23.60
849,42.66,38.62,36.35,23.60
850,42.66,38.62,36.35,23.60
851,42.77,38.62,36.35,23.60
852,42.77,38.62,36.35,23.60
853,42.66,38.62,36.35,23.60
854,42.66,38.52,36.35,23.60
855,42.66,38.62,36.24,23.60
856,42.66,38.52,36.35,23.60
857,42.77,38.62,36.35,23.60
858,42.66,38.62,36.35,23.60
859,42.66,38.62,36.45,23.60
860,42.77,38.62,36.35,23.60
861,42.77,38.73,36.45,23.60
862,42.77,38.73,36.45,23.60
863,42.77,38.73,36.45,23.60
864,42.66,38.73,36.45,23.60
865,42.77,38.73,36.45,23.60
866,42.66,38.73,36.45,23.51
867,42.77,38.73,36.35,23.60
868,42.66,38.73,36.35,23.51
869,42.66,38.73,36.45,23.60
870,42.77,38.73,36.45,23.60
871,42.66,38.73,36.45,23.60
872,42.66,38.62,36.45,23.60
873,42.66,38.62,36.45,23.69
874,42.66,38.62,36.45,23.51
875,42.66,38.62,36.45,23.60
876,42.66,38.73,36.35,23.60
877,42.66,38.62,36.45,23.51
878,42.77,38.62,36.35,23.60
879,42.77,38.62,36.35,23.60
880,42.66,38.62,36.35,23.60
881,42.66,38.62,36.35,23.60
882,42.66,38.62,36.35,23.60
883,42.66,38.62,36.35,23.60
884,42.66,38.62,36.35,23.69
885,42.66,38.62,36.35,23.51
886,42.66,38.62,36.35,23.60
887,42.77,38.62,36.35,23.51
888,42.77,38.62,36.35,23.60
889,42.77,38.62,36.35,23.60
890,42.77,38.62,36.35,23.60
891,42.77,38.62,36.35,23.60
892,42.77,38.62,36.24,23.60
893,42.77,38.62,36.35,23.60
894,42.77,38.62,36.35,23.60
895,42.77,38.62,36.35,23.60
896,42.66,38.62,36.35,23.60
897,42.66,38.62,36.35,23.60
898,42.66,38.62,36.35,23.60
899,42.66,38.62,36.35,23.60
900,42.54,38.73,36.35,23.60
901,42.66,38.62,36.35,23.60
902,42.66,38.62,36.45,23.60
903,42.54,38.62,36.45,23.60
904,42.66,38.73,36.35,23.60
905,42.66,38.73,36.35,23.60
906,42.66,38.62,36.45,23.60
907,42.66,38.62,36.45,23.69
908,42.66,38.62,36.45,23.51
909,42.66,38.62,36.45,23.60
910,42.66,38.62,36.45,23.60
911,42.66,38.62,36.45,23.60
912,42.66,38.62,36.45,23.60
913,42.66,38.62,36.45,23.60
914,42.66,38.62,36.45,23.60
915,42.66,38.62,36.45,23.60
916,42.66,38.62,36.45,23.60
917,42.66,38.73,36.45,23.60
918,42.66,38.62,36.35,23.60
919,42.66,38.62,36.35,23.60
920,42.66,38.62,36.45,23.60
921,42.66,38.62,36.45,23.51
922,42.66,38.62,36.35,23.60
923,42.66,38.62,36.35,23.60
924,42.66,38.62,36.35,23.60
925,42.66,38.62,36.45,23.51
926,42.66,38.62,36.45,23.60
927,42.66,38.73,36.45,23.51
928,42.66,38.62,36.35,23.60
929,42.66,38.73,36.35,23.60
930,42.66,38.62,36.45,23.60
931,42.54,38.62,36.35,23.60
932,42.66,38.62,36.35,23.60
933,42.66,38.62,36.35,23.60
934,42.66,38.62,36.35,23.60
935,42.66,38.62,36.45,23.60
936,42.66,38.62,36.35,23.60
937,42.66,38.62,36.35,23.60
938,42.66,38.62,36.35,23.51
939,42.66,38.73,36.35,23.69
940,42.66,38.62,36.35,23.60
941,42.66,38.62,36.45,23.51
942,42.66,38.62,36.35,23.60
943,42.66,38.62,36.35,23.60
944,42.66,38.62,36.35,23.60
945,42.66,38.62,36.35,23.60
946,42.66,38.62,36.35,23.60
947,42.66,38.62,36.35,23.60
948,42.66,38.62,36.35,23.60
949,42.66,38.62,36.35,23.51
950,42.66,38.62,36.35,23.60
