Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
173,13.23,17.27,18.34,24.77
174,13.23,17.27,18.25,24.86
175,13.14,17.27,18.25,24.86
176,13.23,17.18,18.25,24.86
177,13.14,17.18,18.16,24.86
178,13.14,17.18,18.16,24.86
179,13.14,17.18,18.16,24.86
180,13.14,17.09,18.07,24.86
181,13.14,17.09,18.07,24.86
182,13.05,17.09,18.07,24.86
183,13.05,17.09,17.98,24.86
184,12.96,17.00,18.07,24.86
185,12.96,17.00,17.98,24.77
186,12.96,17.00,17.89,24.86
187,12.96,16.91,17.98,24.86
188,12.96,17.00,17.89,24.86
189,12.86,16.91,17.89,24.86
190,12.86,16.82,17.89,24.86
191,12.86,16.82,17.89,24.86
192,12.86,16.82,17.80,24.86
193,12.77,16.82,17.80,24.95
194,12.86,16.73,17.80,24.86
195,12.77,16.73,17.71,24.86
196,12.68,16.64,17.71,24.86
197,12.68,16.73,17.62,24.86
198,12.68,16.64,17.62,24.86
199,12.68,16.64,17.62,24.86
200,12.68,16.64,17.62,24.86
201,12.77,16.64,17.62,24.86
202,12.68,16.55,17.54,24.86
204,12.68,16.64,17.54,24.95
205,12.68,16.55,17.54,24.95
206,12.59,16.64,17.45,24.95
207,12.59,16.55,17.45,24.95
208,12.59,16.46,17.45,24.95
209,12.50,16.46,17.45,24.95
210,12.59,16.38,17.36,24.95
211,12.50,16.38,17.36,24.86
212,12.50,16.38,17.36,24.95
213,12.50,16.29,17.36,24.86
214,12.41,16.29,17.36,24.95
215,12.41,16.38,17.27,24.86
216,12.41,16.29,17.27,24.86
217,12.50,16.29,17.27,24.95
218,12.50,16.29,17.27,24.95
219,12.41,16.29,17.18,24.95
220,12.41,16.20,17.18,24.95
221,12.41,16.20,17.18,24.95
222,12.41,16.29,17.18,24.95
223,12.32,16.20,17.18,24.95
224,12.32,16.20,17.18,24.95
225,12.32,16.11,17.09,24.95
226,12.32,16.11,17.09,24.95
227,12.32,16.11,17.09,24.95
228,12.32,16.11,17.09,24.95
229,12.41,16.20,17.00,24.95
230,12.32,16.11,17.09,24.95
231,12.32,16.11,17.00,24.95
232,12.32,16.11,17.00,24.95
233,12.32,16.02,17.00,24.95
234,12.32,16.02,17.00,25.04
235,12.23,16.02,16.91,25.04
236,12.23,16.02,16.91,24.95
237,12.23,16.02,16.91,24.95
238,12.23,16.02,16.91,24.95
239,12.23,15.93,16.91,25.04
240,12.14,15.93,16.91,24.95
241,12.14,15.93,16.91,24.95
242,12.23,15.93,16.91,25.04
243,12.14,15.93,16.91,25.04
244,12.14,15.93,16.91,25.04
245,12.14,15.84,16.82,25.04
246,12.04,15.84,16.82,25.04
247,12.04,15.84,16.82,25.04
248,12.04,15.84,16.73,25.04
249,12.04,15.84,16.73,25.04
250,11.95,15.75,16.73,25.04
251,11.95,15.75,16.73,25.04
252,11.95,15.75,16.73,25.04
253,11.95,15.75,16.64,25.04
254,11.95,15.75,16.73,25.04
255,11.86,15.75,16.73,25.04
256,11.86,15.75,16.73,25.04
257,11.95,15.66,16.73,25.04
258,11.86,15.75,16.64,25.04
259,11.95,15.66,16.64,25.13
260,11.95,15.66,16.73,25.13
261,11.86,15.66,16.64,25.04
262,11.95,15.66,16.64,25.04
263,11.95,15.66,16.55,25.04
264,11.86,15.66,16.55,25.04
265,11.86,15.66,16.55,25.04
266,11.86,15.57,16.55,25.04
267,11.86,15.57,16.55,25.13
268,11.86,15.57,16.46,25.04
269,11.77,15.57,16.46,25.04
270,11.86,15.57,16.55,25.04
271,11.86,15.57,16.46,25.04
272,11.86,15.57,16.46,25.04
273,11.86,15.48,16.46,25.04
274,11.77,15.48,16.46,25.04
275,11.77,15.48,16.46,25.13
276,11.77,15.48,16.38,25.13
277,11.68,15.48,16.38,25.04
278,11.77,15.48,16.38,25.13
279,11.77,15.39,16.38,25.04
280,11.77,15.39,16.38,25.04
281,11.77,15.39,16.38,25.04
282,11.77,15.39,16.29,25.04
283,11.68,15.48,16.29,25.04
284,11.77,15.39,16.29,25.04
285,11.68,15.39,16.38,25.04
286,11.68,15.39,16.29,25.04
287,11.68,15.30,16.29,25.04
288,11.77,15.39,16.29,25.13
289,11.68,15.30,16.29,25.13
290,11.68,15.39,16.29,25.04
291,11.68,15.30,16.29,25.04
292,11.68,15.30,16.20,25.13
293,11.68,15.39,16.20,25.13
294,11.59,15.39,16.20,25.04
295,11.59,15.30,16.20,25.13
296,11.59,15.30,16.20,25.13
297,11.59,15.21,16.20,25.13
298,11.49,15.30,16.20,25.04
299,11.49,15.21,16.11,25.04
300,11.49,15.21,16.20,25.04
301,11.59,15.30,16.11,25.13
302,11.49,15.21,16.11,25.13
303,11.49,15.21,16.11,25.04
304,11.49,15.21,16.11,25.13
305,11.49,15.12,16.11,25.13
306,11.49,15.21,16.11,25.04
307,11.49,15.12,16.11,25.13
308,11.49,15.21,16.11,25.13
309,11.49,15.12,16.11,25.13
310,11.49,15.12,16.02,25.13
311,11.49,15.12,16.02,25.13
312,11.49,15.21,16.02,25.04
313,11.49,15.21,16.02,25.04
314,11.49,15.12,16.02,25.13
315,11.49,15.12,16.02,25.04
316,11.40,15.12,16.02,25.04
317,11.59,15.12,15.93,25.13
318,11.49,15.12,16.02,25.04
319,11.40,15.03,15.93,25.13
320,11.40,15.03,15.93,25.13
321,11.40,15.03,16.02,25.04
322,11.40,15.03,15.93,25.04
323,11.40,15.12,15.93,25.04
324,11.49,15.03,15.93,25.13
325,11.49,15.03,15.93,25.13
326,11.40,15.03,15.93,25.13
327,11.40,15.03,15.93,25.04
328,11.40,14.94,15.93,25.13
329,11.40,15.03,15.84,25.13
330,11.40,14.94,15.93,25.13
331,11.31,14.94,15.84,25.13
332,11.31,15.03,15.93,25.13
333,11.22,14.94,15.93,25.04
334,11.31,15.03,15.93,25.13
335,11.22,14.94,15.93,25.13
336,11.22,14.94,15.93,25.13
337,11.31,14.94,15.93,25.04
338,11.31,14.94,15.93,25.13
339,11.31,14.85,15.84,25.13
340,11.31,14.94,15.93,25.13
341,11.31,14.94,15.84,25.13
342,11.22,14.85,15.84,25.13
343,11.22,14.85,15.84,25.13
344,11.22,14.85,15.84,25.04
345,11.31,14.85,15.75,25.13
346,11.22,14.85,15.75,25.13
347,11.22,14.85,15.75,25.13
348,11.22,14.85,15.75,25.13
349,11.22,14.85,15.75,25.13
350,11.22,14.85,15.75,25.13
351,11.13,14.85,15.75,25.13
352,11.13,14.76,15.75,25.13
353,11.22,14.85,15.66,25.04
354,11.13,14.85,15.66,25.04
355,11.22,14.76,15.66,25.04
356,11.13,14.85,15.66,25.04
357,11.13,14.76,15.66,25.13
358,11.13,14.76,15.75,25.04
359,11.13,14.76,15.66,25.04
360,11.13,14.76,15.66,25.13
361,11.13,14.76,15.66,25.13
362,11.13,14.76,15.66,25.13
363,11.13,14.76,15.66,25.04
364,11.13,14.76,15.66,25.13
365,11.13,14.76,15.66,25.13
366,11.13,14.76,15.66,25.04
367,11.03,14.76,15.57,25.04
368,11.03,14.67,15.57,25.04
369,11.13,14.67,15.66,25.13
370,11.13,14.67,15.57,25.13
371,11.03,14.67,15.66,25.04
372,11.03,14.67,15.66,25.13
373,11.03,14.67,15.57,25.04
374,11.03,14.67,15.57,25.04
375,11.03,14.67,15.57,25.04
376,11.03,14.67,15.57,25.04
377,11.03,14.67,15.57,25.04
378,10.94,14.67,15.57,25.04
379,10.94,14.67,15.57,25.04
380,10.94,14.67,15.57,25.04
381,10.94,14.67,15.57,25.04
382,11.03,14.67,15.57,25.04
383,10.94,14.67,15.57,25.13
384,10.94,14.67,15.57,25.13
385,10.94,14.67,15.57,25.13
386,10.94,14.58,15.57,25.04
387,10.94,14.67,15.57,25.04
388,10.94,14.58,15.57,25.13
389,10.94,14.58,15.48,25.04
390,10.94,14.58,15.48,25.04
391,10.94,14.58,15.48,25.04
392,11.03,14.58,15.48,25.13
393,11.03,14.58,15.48,25.04
394,11.03,14.58,15.48,25.13
395,10.94,14.58,15.48,25.04
396,10.94,14.58,15.48,25.04
397,10.94,14.58,15.48,25.13
398,11.03,14.58,15.39,25.13
399,10.94,14.58,15.39,25.13
400,10.94,14.58,15.39,25.04
401,10.94,14.58,15.48,25.04
402,11.03,14.58,15.39,25.04
403,11.03,14.58,15.39,25.13
404,11.03,14.58,15.39,25.13
405,11.03,14.49,15.39,25.04
406,10.94,14.49,15.39,25.04
408,10.94,14.49,15.39,25.04
409,11.03,14.49,15.39,25.04
410,11.03,14.49,15.39,25.04
411,10.94,14.49,15.39,25.04
412,10.94,14.49,15.39,25.04
413,10.94,14.49,15.39,25.04
414,10.94,14.49,15.39,25.04
415,10.94,14.49,15.39,25.04
416,10.94,14.49,15.39,25.04
417,10.94,14.49,15.39,25.04
418,10.85,14.49,15.39,25.04
419,10.85,14.49,15.39,25.04
420,10.85,14.49,15.39,25.04
421,10.85,14.49,15.30,25.04
422,10.85,14.49,15.39,25.04
423,10.85,14.40,15.30,25.04
424,10.85,14.40,15.30,25.04
425,10.85,14.40,15.30,25.04
426,10.85,14.49,15.30,25.04
427,10.85,14.40,15.30,25.04
428,10.85,14.40,15.30,25.04
429,10.85,14.40,15.30,25.04
430,10.85,14.40,15.30,25.04
431,10.85,14.40,15.30,25.04
432,10.76,14.40,15.30,25.04
433,10.85,14.40,15.30,25.04
434,10.76,14.40,15.30,25.04
435,10.76,14.40,15.30,25.04
436,10.76,14.40,15.30,25.04
437,10.76,14.40,15.30,25.04
438,10.76,14.40,15.30,25.04
439,10.76,14.40,15.30,25.04
440,10.76,14.31,15.30,25.04
441,10.76,14.40,15.30,25.04
442,10.76,14.40,15.21,25.04
443,10.76,14.40,15.30,25.04
444,10.76,14.31,15.30,25.04
445,10.76,14.31,15.21,25.04
446,10.76,14.31,15.21,24.95
447,10.76,14.31,15.21,24.95
448,10.76,14.31,15.21,24.95
449,10.76,14.31,15.21,25.04
450,10.67,14.31,15.21,25.04
451,10.67,14.31,15.21,24.95
452,10.76,14.31,15.21,24.95
453,10.67,14.31,15.21,24.95
454,10.76,14.31,15.21,24.95
455,10.76,14.31,15.21,24.95
