Time,T1Mesure,T2Mesure,T3Mesure,PWMDutycycle,TECEntr_e_SortieAmpli,R_gulateurSortie,PerturbationCourant,T3Estimation,AmpliEntr_e,R_gulateurEntr_e,Consigne,T1Perturbation,T2Perturbation,T3Perturbation,PWMSortie,TECSortie,T3Vmesure,T2Vmesure,T1Vmesure,T1R_sistance,T2R_sistance,T3R_sistance
0.05,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00415990169457089,0,0,23,2.48700030720447,0,23,0,0,0,0,-0.0131303137087436,2.19463081340885,2.19463281762011,2.19499993834268,10923.6023488396,10922.6283069091,10922.6229895998
0.1,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00215392179716687,0,0,23,2.49326899438385,0,23,0,0,0,5,-0.00679863876057752,2.1731123262952,2.17311663327776,2.1734887623141,10923.6227412103,10922.635409962,10922.6239832388
0.15,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00408701402017812,0,0,23,2.48722808118694,0,23,0,0,0,0,-0.0129002510532902,2.18732613338798,2.18733275970358,2.18770989570977,10923.6431927024,10922.6425756613,10922.62499558
0.2,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00222144175798945,0,0,23,2.49305799450628,0,23,0,0,0,5,-0.00701175876491791,2.18010205353126,2.18011101545459,2.18049309899136,10923.6635483659,10922.649803203,10922.6260265807
0.25,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00401210111525387,0,0,23,2.48746218401483,0,23,0,0,0,0,-0.0126637959601873,2.17622806233462,2.17623937584899,2.1766264163515,10923.6839901284,10922.6570917684,10922.6270761953
0.3,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00230310875192956,0,0,23,2.49280278515022,0,23,0,0,0,5,-0.00726953246459045,2.17270014858421,2.17271382939397,2.17310576062979,10923.7043164363,10922.6644405757,10922.6281443819
0.35,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00392370931214145,0,0,23,2.48773840839956,0,23,0,0,0,0,-0.0123847960728433,2.17971600893348,2.17973207245917,2.18012891150005,10923.7247475254,10922.6718488266,10922.6292310949
0.4,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00239732870218333,0,0,23,2.49250834780568,0,23,0,0,0,5,-0.00756692831557146,2.18263022319569,2.18264868458569,2.18305035909756,10923.745045407,10922.6793157572,10922.6303362926
0.45,22.9804247668525,22.9804247668525,22.9804247668525,127,-0.00382392971537115,0,0,23,2.48805021963947,0,23,0,0,0,0,-0.0120698517535975,2.18047503745183,2.18049591157825,2.1809024455441,10923.765464866,10922.6868405896,10922.6314599298
0.5,22.9533557007542,22.9804247668525,22.9804247668525,127,-0.00250202994838929,0,0,23,2.49218115641128,0,23,0,0,0,5,-0.00789740732909596,2.18219352122665,2.18221682269597,2.18262813842447,10923.7857353772,10922.6944225771,10922.6326019646
0.55,22.9533557007542,22.9804247668525,22.9804247668525,127,-0.00371478137885703,0,0,23,2.48839130819107,0,23,0,0,0,0,-0.0117253359442243,2.18209803095791,2.18212377410775,2.18253990167689,10923.8061421336,10922.7020609621,10922.6337623523
0.6,22.9533557007542,22.9804247668525,22.9804247668525,127,-0.00261521186227398,0,0,23,2.49182746293039,0,23,0,0,0,5,-0.00825465472208159,2.17788450355438,2.17791270246299,2.17833355965201,10923.8263864351,10922.7097550144,10922.6349410509
0.65,22.9533557007542,22.9804247668525,22.9804247668525,127,-0.00359821357943275,0,0,23,2.48875558256427,0,23,0,0,0,0,-0.0113574013421215,2.18711783178222,2.18714850026636,2.18757412235733,10923.8467793222,10922.7175039962,10922.6361380161
