temps,T1,T2,T3
66.5,26.00277624,24.77743941,24.23098852
67,26.01751669,24.78910101,24.24174029
67.5,26.03216936,24.80071176,24.25246485
68,26.04673477,24.81227187,24.2631619
68.5,26.06121343,24.82378155,24.27383112
69,26.07560588,24.835241,24.28447224
69.5,26.08991261,24.84665043,24.29508498
70,26.10413415,24.85801004,24.30566906
70.5,26.11827099,24.86932004,24.31622423
71,26.13232365,24.88058063,24.32675023
71.5,26.14629262,24.89179203,24.33724683
72,26.1601784,24.90295444,24.34771379
72.5,26.17398149,24.91406805,24.3581509
73,26.18770238,24.92513309,24.36855793
73.5,26.20134156,24.93614974,24.37893468
74,26.21489951,24.94711823,24.38928095
74.5,26.22837673,24.95803874,24.39959656
75,26.24177368,24.96891148,24.40988132
75.5,26.25509085,24.97973666,24.42013506
76,26.26832872,24.99051448,24.43035761
76.5,26.28148775,25.00124514,24.44054881
77,26.29456842,25.01192883,24.45070852
77.5,26.30757119,25.02256577,24.46083657
78,26.32049653,25.03315616,24.47093285
78.5,26.33334489,25.04370018,24.4809972
79,26.34611674,25.05419804,24.49102952
79.5,26.35881253,25.06464995,24.50102967
80,26.37143271,25.07505609,24.51099756
80.5,26.38397774,25.08541666,24.52093306
81,26.39644806,25.09573187,24.53083608
81.5,26.40884411,25.10600189,24.54070652
82,26.42116635,25.11622695,24.55054429
82.5,26.4334152,25.12640721,24.56034932
83,26.44559111,25.13654289,24.57012151
83.5,26.45769451,25.14663417,24.5798608
84,26.46972583,25.15668124,24.58956712
84.5,26.48168551,25.1666843,24.59924039
85,26.49357396,25.17664353,24.60888058
85.5,26.50539161,25.18655914,24.6184876
86,26.51713888,25.1964313,24.62806143
86.5,26.5288162,25.20626021,24.63760201
87,26.54042398,25.21604605,24.64710931
87.5,26.55196263,25.22578901,24.65658327
88,26.56343257,25.23548928,24.66602388
88.5,26.5748342,25.24514704,24.6754311
89,26.58616793,25.25476249,24.68480491
89.5,26.59743417,25.26433579,24.69414529
90,26.60863331,25.27386715,24.70345222
90.5,26.61976576,25.28335673,24.71272568
91,26.63083192,25.29280472,24.72196567
91.5,26.64183217,25.30221131,24.73117218
92,26.65276691,25.31157667,24.7403452
92.5,26.66363654,25.32090099,24.74948474
93,26.67444144,25.33018444,24.75859079
93.5,26.68518199,25.3394272,24.76766337
94,26.69585857,25.34862945,24.77670248
94.5,26.70647158,25.35779137,24.78570814
95,26.71702139,25.36691313,24.79468036
95.5,26.72750836,25.37599491,24.80361915
96,26.73793289,25.38503688,24.81252454
96.5,26.74829534,25.39403922,24.82139656
97,26.75859607,25.4030021,24.83023522
97.5,26.76883547,25.41192569,24.83904055
98,26.77901388,25.42081017,24.8478126
98.5,26.78913168,25.4296557,24.85655137
99,26.79918923,25.43846246,24.86525693
99.5,26.80918688,25.44723061,24.87392929
100,26.819125,25.45596033,24.8825685
100.5,26.82900393,25.46465179,24.89117461
101,26.83882403,25.47330514,24.89974765
101.5,26.84858565,25.48192056,24.90828768
102,26.85828913,25.49049821,24.91679473
102.5,26.86793483,25.49903827,24.92526886
103,26.87752309,25.50754088,24.93371012
103.5,26.88705425,25.51600623,24.94211857
104,26.89652865,25.52443446,24.95049425
104.5,26.90594663,25.53282575,24.95883723
105,26.91530852,25.54118025,24.96714756
105.5,26.92461466,25.54949813,24.97542531
106,26.93386537,25.55777954,24.98367053
106.5,26.943061,25.56602465,24.99188328
107,26.95220187,25.57423362,25.00006364
107.5,26.9612883,25.5824066,25.00821167
108,26.97032062,25.59054375,25.01632743
108.5,26.97929915,25.59864523,25.02441099
109,26.98822422,25.60671119,25.03246243
109.5,26.99709613,25.61474179,25.04048181
110,27.0059152,25.62273719,25.0484692
110.5,27.01468176,25.63069753,25.05642469
111,27.02339611,25.63862298,25.06434833
111.5,27.03205857,25.64651369,25.07224022
112,27.04066944,25.6543698,25.08010042
112.5,27.04922903,25.66219147,25.08792901
113,27.05773764,25.66997886,25.09572608
113.5,27.06619559,25.6777321,25.10349169
114,27.07460317,25.68545136,25.11122594
114.5,27.08296067,25.69313677,25.11892889
115,27.09126841,25.70078849,25.12660064
115.5,27.09952667,25.70840667,25.13424127
116,27.10773576,25.71599145,25.14185086
116.5,27.11589595,25.72354297,25.1494295
117,27.12400755,25.73106139,25.15697727
117.5,27.13207085,25.73854686,25.16449425
118,27.14008612,25.7459995,25.17198054
118.5,27.14805367,25.75341947,25.17943621
119,27.15597376,25.76080692,25.18686137
119.5,27.16384669,25.76816198,25.19425609
120,27.17167274,25.77548479,25.20162048
120.5,27.17945218,25.7827755,25.2089546
121,27.18718529,25.79003425,25.21625856
121.5,27.19487235,25.79726117,25.22353245
122,27.20251363,25.80445641,25.23077636
122.5,27.2101094,25.81162011,25.23799038
123,27.21765994,25.81875241,25.2451746
123.5,27.22516552,25.82585343,25.25232912
124,27.2326264,25.83292333,25.25945402
124.5,27.24004285,25.83996223,25.26654941
125,27.24741513,25.84697027,25.27361537
125.5,27.2547435,25.85394758,25.28065199
126,27.26202824,25.86089431,25.28765939
126.5,27.26926959,25.86781059,25.29463764
127,27.27646782,25.87469654,25.30158685
127.5,27.28362319,25.88155231,25.3085071
128,27.29073594,25.88837802,25.3153985
128.5,27.29780633,25.8951738,25.32226114
129,27.30483462,25.9019398,25.32909512
129.5,27.31182106,25.90867613,25.33590053
130,27.31876588,25.91538293,25.34267747
130.5,27.32566935,25.92206032,25.34942603
131,27.33253171,25.92870844,25.35614632
131.5,27.3393532,25.93532742,25.36283843
132,27.34613407,25.94191738,25.36950246
132.5,27.35287456,25.94847845,25.3761385
133,27.3595749,25.95501075,25.38274666
133.5,27.36623535,25.96151442,25.38932703
134,27.37285613,25.96798957,25.3958797
134.5,27.37943748,25.97443634,25.40240478
135,27.38597964,25.98085485,25.40890237
135.5,27.39248284,25.98724521,25.41537255
136,27.39894731,25.99360756,25.42181544
136.5,27.40537328,25.99994202,25.42823112
137,27.41176099,26.00624871,25.4346197
137.5,27.41811065,26.01252774,25.44098127
138,27.42442251,26.01877925,25.44731594
138.5,27.43069677,26.02500336,25.45362379
139,27.43693367,26.03120018,25.45990493
139.5,27.44313343,26.03736983,25.46615946
140,27.44929626,26.04351243,25.47238748
140.5,27.4554224,26.0496281,25.47858908
141,27.46151205,26.05571696,25.48476435
141.5,27.46756544,26.06177913,25.49091341
142,27.47358278,26.06781472,25.49703634
142.5,27.47956428,26.07382385,25.50313325
143,27.48551017,26.07980664,25.50920423
143.5,27.49142064,26.0857632,25.51524938
144,27.49729592,26.09169364,25.52126879
144.5,27.50313621,26.09759809,25.52726257
145,27.50894171,26.10347665,25.53323081
145.5,27.51471265,26.10932943,25.53917362
146,27.52044922,26.11515656,25.54509108
146.5,27.52615162,26.12095815,25.55098329
147,27.53182007,26.12673429,25.55685035
147.5,27.53745476,26.13248512,25.56269236
148,27.54305589,26.13821073,25.56850942
148.5,27.54862367,26.14391125,25.57430161
149,27.55415829,26.14958677,25.58006904
149.5,27.55965995,26.15523741,25.58581181
150,27.56512885,26.16086327,25.59153
150.5,27.57056518,26.16646448,25.59722372
151,27.57596914,26.17204113,25.60289306
151.5,27.58134091,26.17759332,25.60853812
152,27.58668069,26.18312118,25.61415899
152.5,27.59198868,26.18862481,25.61975576
153,27.59726505,26.1941043,25.62532854
153.5,27.60251,26.19955977,25.63087741
154,27.60772372,26.20499133,25.63640248
154.5,27.61290639,26.21039908,25.64190383
155,27.61805819,26.21578311,25.64738156
155.5,27.62317932,26.22114354,25.65283576
156,27.62826995,26.22648048,25.65826653
156.5,27.63333026,26.23179401,25.66367397
157,27.63836043,26.23708425,25.66905815
157.5,27.64336065,26.2423513,25.67441919
158,27.6483311,26.24759526,25.67975716
158.5,27.65327194,26.25281622,25.68507217
159,27.65818336,26.2580143,25.69036431
159.5,27.66306553,26.26318959,25.69563366
160,27.66791863,26.26834219,25.70088033
160.5,27.67274283,26.27347221,25.70610439
161,27.67753829,26.27857973,25.71130595
161.5,27.6823052,26.28366486,25.71648509
162,27.68704372,26.28872769,25.72164191
162.5,27.69175402,26.29376834,25.72677649
163,27.69643628,26.29878688,25.73188894
163.5,27.70109064,26.30378342,25.73697932
164,27.70571729,26.30875806,25.74204775
164.5,27.71031639,26.31371088,25.7470943
165,27.7148881,26.318642,25.75211907
165.5,27.71943258,26.32355149,25.75712215
166,27.72395,26.32843947,25.76210362
166.5,27.72844052,26.33330601,25.76706357
167,27.7329043,26.33815122,25.77200209
167.5,27.73734149,26.34297519,25.77691928
168,27.74175226,26.347778,25.78181521
168.5,27.74613676,26.35255977,25.78668998
169,27.75049515,26.35732057,25.79154367
169.5,27.75482759,26.36206049,25.79637637
170,27.75913422,26.36677964,25.80118817
170.5,27.76341521,26.3714781,25.80597916
171,27.76767071,26.37615596,25.81074941
171.5,27.77190086,26.38081331,25.81549902
172,27.77610582,26.38545025,25.82022807
172.5,27.78028574,26.39006685,25.82493664
173,27.78444077,26.39466322,25.82962483
173.5,27.78857105,26.39923944,25.83429272
174,27.79267674,26.40379559,25.83894039
174.5,27.79675797,26.40833177,25.84356792
175,27.80081491,26.41284806,25.84817541
175.5,27.80484768,26.41734456,25.85276293
176,27.80885643,26.42182134,25.85733057
176.5,27.81284132,26.42627849,25.8618784
177,27.81680247,26.43071611,25.86640653
177.5,27.82074003,26.43513426,25.87091502
178,27.82465415,26.43953305,25.87540395
178.5,27.82854495,26.44391256,25.87987342
179,27.83241259,26.44827287,25.8843235
179.5,27.83625719,26.45261406,25.88875428
180,27.84007889,26.45693621,25.89316583
180.5,27.84387784,26.46123942,25.89755823
181,27.84765416,26.46552377,25.90193158
181.5,27.851408,26.46978933,25.90628594
182,27.85513948,26.47403619,25.9106214
182.5,27.85884874,26.47826443,25.91493804
183,27.86253591,26.48247414,25.91923593
183.5,27.86620112,26.48666539,25.92351516
184,27.8698445,26.49083826,25.9277758
184.5,27.87346619,26.49499284,25.93201794
185,27.87706631,26.49912921,25.93624165
185.5,27.88064499,26.50324745,25.94044701
186,27.88420236,26.50734762,25.9446341
186.5,27.88773854,26.51142983,25.94880299
187,27.89125366,26.51549414,25.95295376
187.5,27.89474786,26.51954063,25.9570865
188,27.89822124,26.52356937,25.96120127
188.5,27.90167394,26.52758046,25.96529815
189,27.90510607,26.53157396,25.96937723
189.5,27.90851777,26.53554996,25.97343856
190,27.91190915,26.53950852,25.97748224
190.5,27.91528033,26.54344973,25.98150833
191,27.91863144,26.54737366,25.98551691
191.5,27.92196259,26.55128039,25.98950805
192,27.92527391,26.55516999,25.99348184
192.5,27.9285655,26.55904254,25.99743833
193,27.93183749,26.56289811,26.00137762
193.5,27.93509,26.56673678,26.00529976
194,27.93832314,26.57055862,26.00920484
194.5,27.94153702,26.57436371,26.01309292
195,27.94473176,26.57815211,26.01696408
195.5,27.94790748,26.58192391,26.0208184
196,27.95106429,26.58567916,26.02465593
196.5,27.95420229,26.58941796,26.02847676
197,27.95732161,26.59314037,26.03228096
197.5,27.96042236,26.59684645,26.0360686
198,27.96350464,26.60053629,26.03983974
198.5,27.96656856,26.60420995,26.04359447
199,27.96961423,26.60786751,26.04733284
199.5,27.97264177,26.61150903,26.05105494
200,27.97565128,26.61513459,26.05476082
200.5,27.97864287,26.61874425,26.05845057
201,27.98161664,26.62233808,26.06212424
201.5,27.9845727,26.62591617,26.06578191
202,27.98751116,26.62947856,26.06942365
202.5,27.99043212,26.63302534,26.07304952
203,27.99333568,26.63655657,26.0766596
203.5,27.99622195,26.64007232,26.08025395
204,27.99909104,26.64357265,26.08383263
204.5,28.00194304,26.64705764,26.08739572
205,28.00477805,26.65052735,26.09094329
205.5,28.00759618,26.65398185,26.0944754
206,28.01039753,26.6574212,26.09799211
206.5,28.0131822,26.66084548,26.10149349
207,28.01595028,26.66425474,26.10497962
207.5,28.01870188,26.66764906,26.10845055
208,28.02143709,26.6710285,26.11190634
208.5,28.02415601,26.67439312,26.11534708
209,28.02685874,26.67774299,26.11877281
209.5,28.02954538,26.68107818,26.12218361
210,28.03221601,26.68439874,26.12557954
210.5,28.03487075,26.68770474,26.12896067
211,28.03750967,26.69099626,26.13232705
211.5,28.04013288,26.69427334,26.13567875
212,28.04274046,26.69753605,26.13901584
212.5,28.04533252,26.70078447,26.14233837
213,28.04790914,26.70401864,26.14564642
213.5,28.05047042,26.70723863,26.14894004
214,28.05301644,26.7104445,26.15221929
214.5,28.0555473,26.71363632,26.15548425
215,28.05806309,26.71681415,26.15873496
215.5,28.0605639,26.71997804,26.16197149
216,28.06304982,26.72312807,26.16519391
216.5,28.06552093,26.72626428,26.16840226
217,28.06797732,26.72938675,26.17159663
217.5,28.07041909,26.73249553,26.17477706
218,28.07284631,26.73559068,26.17794361
218.5,28.07525909,26.73867225,26.18109635
219,28.07765749,26.74174032,26.18423533
219.5,28.08004161,26.74479494,26.18736062
220,28.08241153,26.74783617,26.19047227
220.5,28.08476734,26.75086406,26.19357035
221,28.08710912,26.75387868,26.19665491
221.5,28.08943695,26.75688008,26.19972601
222,28.09175092,26.75986833,26.2027837
222.5,28.09405111,26.76284347,26.20582806
223,28.0963376,26.76580558,26.20885912
223.5,28.09861048,26.76875469,26.21187697
224,28.10086982,26.77169088,26.21488164
224.5,28.1031157,26.77461419,26.21787319
225,28.10534821,26.77752469,26.22085169
225.5,28.10756743,26.78042243,26.22381719
226,28.10977343,26.78330746,26.22676975
226.5,28.11196629,26.78617985,26.22970942
227,28.11414609,26.78903964,26.23263626
227.5,28.11631292,26.7918869,26.23555033
228,28.11846684,26.79472167,26.23845167
228.5,28.12060793,26.79754402,26.24134035
229,28.12273627,26.80035399,26.24421642
229.5,28.12485193,26.80315165,26.24707993
230,28.126955,26.80593704,26.24993095
230.5,28.12904554,26.80871021,26.25276952
231,28.13112364,26.81147123,26.25559569
231.5,28.13318936,26.81422015,26.25840953
232,28.13524277,26.81695701,26.26121108
232.5,28.13728396,26.81968188,26.2640004
233,28.13931299,26.8223948,26.26677754
233.5,28.14132994,26.82509583,26.26954256
234,28.14333488,26.82778501,26.27229551
234.5,28.14532787,26.83046241,26.27503643
235,28.147309,26.83312806,26.27776539
235.5,28.14927833,26.83578204,26.28048243
236,28.15123594,26.83842437,26.28318761
236.5,28.15318188,26.84105512,26.28588097
237,28.15511624,26.84367434,26.28856258
237.5,28.15703908,26.84628208,26.29123247
238,28.15895046,26.84887838,26.2938907
238.5,28.16085047,26.8514633,26.29653733
239,28.16273915,26.85403689,26.2991724
239.5,28.16461659,26.8565992,26.30179596
240,28.16648286,26.85915027,26.30440807
240.5,28.168338,26.86169016,26.30700876
241,28.1701821,26.86421892,26.3095981
241.5,28.17201522,26.86673658,26.31217613
242,28.17383742,26.86924321,26.3147429
242.5,28.17564877,26.87173886,26.31729847
243,28.17744933,26.87422356,26.31984286
243.5,28.17923917,26.87669736,26.32237615
244,28.18101835,26.87916032,26.32489837
244.5,28.18278693,26.88161249,26.32740958
245,28.18454499,26.8840539,26.32990982
245.5,28.18629257,26.88648461,26.33239914
246,28.18802974,26.88890467,26.33487758
246.5,28.18975658,26.89131411,26.3373452
247,28.19147312,26.89371299,26.33980204
247.5,28.19317945,26.89610136,26.34224815
248,28.19487561,26.89847925,26.34468357
248.5,28.19656167,26.90084672,26.34710836
249,28.19823769,26.90320381,26.34952256
249.5,28.19990373,26.90555057,26.3519262
250,28.20155985,26.90788704,26.35431935
250.5,28.20320611,26.91021326,26.35670205
251,28.20484256,26.91252929,26.35907433
251.5,28.20646927,26.91483517,26.36143626
252,28.20808629,26.91713093,26.36378786
252.5,28.20969368,26.91941663,26.3661292
253,28.21129149,26.92169231,26.3684603
253.5,28.2128798,26.92395801,26.37078122
254,28.21445864,26.92621378,26.373092
254.5,28.21602808,26.92845966,26.37539269
255,28.21758818,26.9306957,26.37768333
255.5,28.21913898,26.93292193,26.37996395
256,28.22068055,26.9351384,26.38223462
256.5,28.22221294,26.93734515,26.38449536
257,28.2237362,26.93954223,26.38674623
257.5,28.22525039,26.94172968,26.38898726
258,28.22675557,26.94390754,26.39121851
258.5,28.22825178,26.94607585,26.39344
259,28.22973908,26.94823466,26.39565179
259.5,28.23121752,26.950384,26.39785392
260,28.23268716,26.95252391,26.40004642
260.5,28.23414805,26.95465445,26.40222935
261,28.23560023,26.95677564,26.40440274
261.5,28.23704377,26.95888754,26.40656663
262,28.23847871,26.96099018,26.40872107
262.5,28.23990511,26.9630836,26.41086609
263,28.24132301,26.96516784,26.41300174
263.5,28.24273247,26.96724294,26.41512806
264,28.24413354,26.96930895,26.41724509
264.5,28.24552626,26.9713659,26.41935287
265,28.24691069,26.97341383,26.42145144
265.5,28.24828687,26.97545279,26.42354084
266,28.24965486,26.9774828,26.42562112
266.5,28.2510147,26.97950392,26.4276923
267,28.25236644,26.98151617,26.42975443
267.5,28.25371013,26.9835196,26.43180755
268,28.25504582,26.98551425,26.4338517
268.5,28.25637356,26.98750016,26.43588692
269,28.25769339,26.98947736,26.43791324
269.5,28.25900536,26.99144589,26.43993071
270,28.26030952,26.99340579,26.44193937
270.5,28.26160591,26.9953571,26.44393925
271,28.26289458,26.99729985,26.44593039
271.5,28.26417557,26.99923409,26.44791282
272,28.26544894,27.00115984,26.4498866
272.5,28.26671472,27.00307716,26.45185175
273,28.26797297,27.00498607,26.45380831
273.5,28.26922372,27.00688661,26.45575633
274,28.27046703,27.00877881,26.45769583
274.5,28.27170293,27.01066273,26.45962685
275,28.27293147,27.01253838,26.46154944
275.5,28.27415269,27.01440581,26.46346363
276,28.27536664,27.01626505,26.46536945
276.5,28.27657336,27.01811615,26.46726694
277,28.2777729,27.01995912,26.46915614
277.5,28.27896529,27.02179402,26.47103709
278,28.28015058,27.02362087,26.47290981
278.5,28.28132882,27.02543972,26.47477436
279,28.28250003,27.02725059,26.47663075
279.5,28.28366427,27.02905352,26.47847903
280,28.28482158,27.03084855,26.48031924
280.5,28.285972,27.03263571,26.4821514
281,28.28711556,27.03441503,26.48397555
281.5,28.28825232,27.03618655,26.48579174
282,28.2893823,27.03795031,26.48759998
282.5,28.29050556,27.03970633,26.48940033
283,28.29162212,27.04145466,26.49119281
283.5,28.29273204,27.04319532,26.49297745
284,28.29383535,27.04492835,26.49475429
284.5,28.29493209,27.04665378,26.49652337
285,28.29602229,27.04837164,26.49828472
285.5,28.29710601,27.05008198,26.50003837
286,28.29818327,27.05178482,26.50178436
286.5,28.29925411,27.05348019,26.50352272
287,28.30031858,27.05516813,26.50525348
287.5,28.30137671,27.05684867,26.50697667
288,28.30242853,27.05852184,26.50869234
288.5,28.3034741,27.06018768,26.5104005
289,28.30451343,27.06184622,26.5121012
289.5,28.30554658,27.06349748,26.51379447
290,28.30657357,27.0651415,26.51548034
290.5,28.30759445,27.06677832,26.51715884
291,28.30860925,27.06840796,26.51883001
291.5,28.30961801,27.07003046,26.52049387
292,28.31062076,27.07164584,26.52215046
292.5,28.31161753,27.07325414,26.52379981
293,28.31260837,27.07485539,26.52544195
293.5,28.31359331,27.07644962,26.52707691
294,28.31457239,27.07803686,26.52870473
294.5,28.31554563,27.07961715,26.53032544
295,28.31651308,27.0811905,26.53193906
295.5,28.31747477,27.08275696,26.53354563
296,28.31843073,27.08431655,26.53514518
296.5,28.31938099,27.0858693,26.53673774
297,28.3203256,27.08741524,26.53832333
297.5,28.32126458,27.08895441,26.539902
298,28.32219797,27.09048683,26.54147377
298.5,28.32312581,27.09201253,26.54303867
299,28.32404811,27.09353155,26.54459673
299.5,28.32496493,27.0950439,26.54614798
300,28.32587628,27.09654962,26.54769245
