Time,Temp1,Temp2,Temp3,Temp4,Erreur,Commande PWM,Setpoint,Stabilité atteinte (s);;;;;;;perturbation 835 sec
823.4917764663696,21.22,21.78,21.99,21.61,0.01,121,22.00,178.15810251235962;;;;;;;
823.6019506454468,21.22,21.78,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
824.1658174991608,21.22,21.78,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
824.6132035255432,21.22,21.78,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
825.2864444255829,21.24,21.78,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
825.6235768795013,21.20,21.73,21.99,21.59,0.01,121,22.00,178.15810251235962;;;;;;;
826.1780138015747,21.18,21.71,21.99,21.57,0.01,121,22.00,178.15810251235962;;;;;;;
826.6349687576294,21.18,21.78,21.98,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
827.312557220459,21.22,21.78,21.98,21.61,0.02,121,22.00,178.15810251235962;;;;;;;
827.6474256515503,21.22,21.78,21.98,21.61,0.02,121,22.00,178.15810251235962;;;;;;;
828.2056746482849,21.24,21.80,21.98,21.63,0.02,121,22.00,178.15810251235962;;;;;;;
828.6566615104675,21.22,21.78,21.99,21.63,0.02,121,22.00,178.15810251235962;;;;;;;
829.3054523468018,21.22,21.78,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
829.6686460971832,21.24,21.76,21.99,21.61,0.01,121,22.00,178.15810251235962;;;;;;;
830.2337694168091,21.22,21.78,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
830.6813678741455,21.24,21.78,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
831.3550515174866,21.18,21.71,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
831.6906323432922,21.24,21.78,21.98,21.65,0.01,121,22.00,178.15810251235962;;;;;;;
832.2463641166687,21.24,21.80,21.98,21.65,0.01,121,22.00,178.15810251235962;;;;;;;
832.7019064426422,21.22,21.78,21.98,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
833.380811214447,21.24,21.78,21.99,21.63,0.02,121,22.00,178.15810251235962;;;;;;;
833.7156193256378,21.24,21.78,21.99,21.63,0.02,121,22.00,178.15810251235962;;;;;;;
834.2740063667297,21.20,21.80,21.99,21.63,0.02,121,22.00,178.15810251235962;;;;;;;
834.7241857051849,21.22,21.76,21.99,21.65,0.02,121,22.00,178.15810251235962;;;;;;;
835.3914866447449,21.24,21.80,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
835.7356872558594,21.26,21.80,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
836.3043739795685,21.26,21.82,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
836.7457094192505,21.28,21.84,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
837.4167187213898,21.28,21.82,21.99,21.59,0.01,121,22.00,178.15810251235962;;;;;;;
837.7574954032898,21.33,21.88,21.99,21.65,0.01,121,22.00,178.15810251235962;;;;;;;
838.3115468025208,21.35,21.90,21.99,21.65,0.01,121,22.00,178.15810251235962;;;;;;;
838.7678616046906,21.37,21.90,21.99,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
839.4123713970184,21.39,21.90,22.00,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
839.7795884609222,21.39,21.94,22.00,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
840.3418226242065,21.41,21.92,22.00,21.59,0.01,121,22.00,178.15810251235962;;;;;;;
840.7912511825562,21.41,21.98,22.01,21.63,0.01,121,22.00,178.15810251235962;;;;;;;
841.4547259807587,21.47,21.98,22.01,21.65,-0.01,120,22.00,178.15810251235962;;;;;;;
841.8034799098969,21.51,22.02,22.01,21.67,-0.01,120,22.00,178.15810251235962;;;;;;;
842.3486680984497,21.53,22.02,22.02,21.65,-0.01,120,22.00,178.15810251235962;;;;;;;
842.8133971691132,21.47,22.00,22.02,21.65,-0.01,120,22.00,178.15810251235962;;;;;;;
843.4631140232086,21.55,22.04,22.03,21.63,-0.02,120,22.00,178.15810251235962;;;;;;;
843.8254103660583,21.55,22.06,22.03,21.65,-0.02,120,22.00,178.15810251235962;;;;;;;
844.3942158222198,21.59,22.08,22.04,21.65,-0.02,120,22.00,178.15810251235962;;;;;;;
844.8412621021271,21.61,22.10,22.04,21.69,-0.02,120,22.00,;;;;;;;
845.4705677032471,21.61,22.10,22.05,21.67,-0.04,120,22.00,;;;;;;;
845.8463623523712,21.61,22.14,22.05,21.67,-0.04,120,22.00,;;;;;;;
846.3802363872528,21.65,22.14,22.06,21.65,-0.04,120,22.00,;;;;;;;
846.9224350452423,21.65,22.14,22.06,21.67,-0.04,120,22.00,;;;;;;;
847.494886636734,21.65,22.17,22.07,21.69,-0.06,119,22.00,;;;;;;;
847.9252018928528,21.73,22.21,22.08,21.69,-0.06,119,22.00,;;;;;;;
848.3740546703339,21.71,22.19,22.08,21.67,-0.06,119,22.00,;;;;;;;
848.89635014534,21.78,22.25,22.09,21.71,-0.06,119,22.00,;;;;;;;
849.5110745429993,21.78,22.25,22.10,21.71,-0.09,119,22.00,;;;;;;;
849.9378447532654,21.78,22.27,22.10,21.73,-0.09,119,22.00,;;;;;;;
850.3966307640076,21.80,22.27,22.11,21.69,-0.09,119,22.00,;;;;;;;
850.9497005939484,21.76,22.29,22.12,21.73,-0.09,119,22.00,;;;;;;;
851.5348408222198,21.80,22.29,22.12,21.71,-0.12,118,22.00,;;;;;;;
851.9709320068359,21.86,22.33,22.13,21.78,-0.12,118,22.00,;;;;;;;
852.4186601638794,21.88,22.35,22.14,21.76,-0.12,118,22.00,;;;;;;;
852.9737467765808,21.84,22.37,22.15,21.78,-0.12,118,22.00,;;;;;;;
853.5472114086151,21.88,22.35,22.16,21.78,-0.15,117,22.00,;;;;;;;
853.9798836708069,21.90,22.37,22.16,21.80,-0.15,117,22.00,;;;;;;;
854.440601348877,21.92,22.39,22.17,21.80,-0.15,117,22.00,;;;;;;;
854.9889976978302,21.92,22.37,22.18,21.78,-0.15,117,22.00,;;;;;;;
855.5746812820435,21.92,22.41,22.19,21.80,-0.18,117,22.00,;;;;;;;
855.9581117630005,21.94,22.41,22.20,21.80,-0.18,117,22.00,;;;;;;;
856.4978103637695,21.98,22.45,22.20,21.84,-0.18,117,22.00,;;;;;;;
856.9682703018188,21.96,22.45,22.21,21.84,-0.18,117,22.00,;;;;;;;
857.5958034992218,22.00,22.47,22.22,21.84,-0.21,116,22.00,;;;;;;;
858.0270195007324,21.98,22.45,22.23,21.82,-0.21,116,22.00,;;;;;;;
858.4859457015991,22.02,22.53,22.24,21.88,-0.21,116,22.00,;;;;;;;
858.9936769008636,21.98,22.53,22.25,21.88,-0.21,116,22.00,;;;;;;;
859.6284584999084,22.00,22.51,22.26,21.88,-0.25,115,22.00,;;;;;;;
860.0019075870514,22.02,22.53,22.26,21.88,-0.25,115,22.00,;;;;;;;
860.5270698070526,22.02,22.53,22.27,21.86,-0.25,115,22.00,;;;;;;;
861.062155008316,22.06,22.56,22.28,21.92,-0.25,115,22.00,;;;;;;;
861.6469206809998,22.06,22.58,22.29,21.92,-0.28,115,22.00,;;;;;;;
862.0254397392273,22.08,22.60,22.30,21.94,-0.28,115,22.00,;;;;;;;
862.5886034965515,22.02,22.60,22.31,21.94,-0.28,115,22.00,;;;;;;;
863.0351872444153,22.08,22.62,22.32,21.96,-0.28,115,22.00,;;;;;;;
863.701947927475,22.08,22.62,22.33,21.96,-0.32,114,22.00,;;;;;;;
864.047685623169,22.08,22.64,22.33,21.96,-0.32,114,22.00,;;;;;;;
864.5950803756714,22.08,22.66,22.34,22.00,-0.32,114,22.00,;;;;;;;
