Time,Temp1,Temp2,Temp3,Temp4,Erreur,Commande PWM,Setpoint,Stabilité atteinte (s);;;;;;;perturbation 403sec
354.9730703830719,25.41,25.10,25.01,24.56,-0.01,141,25.00,138.32459783554077;;;;;;;
355.3311936855316,25.45,25.10,25.01,24.58,-0.01,141,25.00,138.32459783554077;;;;;;;
355.7693033218384,25.45,25.10,25.01,24.58,-0.01,141,25.00,138.32459783554077;;;;;;;
356.21713733673096,25.39,25.10,25.01,24.58,-0.01,141,25.00,138.32459783554077;;;;;;;
356.7580099105835,25.43,25.12,25.01,24.58,-0.01,141,25.00,138.32459783554077;;;;;;;
357.34612679481506,25.43,25.10,25.01,24.56,-0.01,141,25.00,138.32459783554077;;;;;;;
357.7747395038605,25.41,25.07,25.01,24.51,-0.01,141,25.00,138.32459783554077;;;;;;;
358.2346875667572,25.43,25.10,25.01,24.56,-0.01,141,25.00,138.32459783554077;;;;;;;
358.7826728820801,25.41,25.10,25.01,24.58,-0.01,141,25.00,138.32459783554077;;;;;;;
359.37831473350525,25.37,25.05,25.01,24.58,-0.01,141,25.00,138.32459783554077;;;;;;;
359.7512092590332,25.43,25.10,25.00,24.53,-0.01,141,25.00,138.32459783554077;;;;;;;
360.30452013015747,25.43,25.10,25.00,24.56,-0.01,141,25.00,138.32459783554077;;;;;;;
360.7619137763977,25.41,25.10,25.00,24.58,-0.01,141,25.00,138.32459783554077;;;;;;;
361.43987822532654,25.43,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
361.7761220932007,25.39,25.05,25.00,24.53,-0.00,141,25.00,138.32459783554077;;;;;;;
362.33478260040283,25.41,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
362.78512144088745,25.43,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
363.438334941864,25.43,25.07,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
363.7962784767151,25.45,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
364.34811210632324,25.43,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
364.80742383003235,25.41,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
365.43707847595215,25.41,25.05,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
365.8194320201874,25.43,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
366.3792178630829,25.43,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
366.8291301727295,25.41,25.07,25.00,24.53,-0.00,141,25.00,138.32459783554077;;;;;;;
367.49911546707153,25.43,25.10,25.00,24.60,-0.00,141,25.00,138.32459783554077;;;;;;;
367.8400025367737,25.43,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
368.3914487361908,25.43,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
368.85222911834717,25.39,25.05,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
369.5283772945404,25.43,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
369.8638381958008,25.43,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
370.4231286048889,25.45,25.12,25.00,24.60,-0.00,141,25.00,138.32459783554077;;;;;;;
370.8735520839691,25.43,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
371.53810119628906,25.43,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
371.8859314918518,25.41,25.07,25.00,24.51,-0.00,141,25.00,138.32459783554077;;;;;;;
372.4340763092041,25.39,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
372.89691638946533,25.43,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
373.5693702697754,25.43,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
373.9071898460388,25.43,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
374.4600691795349,25.45,25.12,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
374.9184031486511,25.37,25.12,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
375.5958299636841,25.43,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
375.9302062988281,25.43,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
376.48848056793213,25.41,25.10,25.00,24.53,-0.00,141,25.00,138.32459783554077;;;;;;;
376.9406621456146,25.45,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
377.60476899147034,25.41,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
377.95165729522705,25.43,25.12,25.00,24.60,-0.00,141,25.00,138.32459783554077;;;;;;;
378.51717138290405,25.41,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
378.96816205978394,25.41,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
379.6192021369934,25.43,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
379.97334694862366,25.39,25.07,25.00,24.60,-0.00,141,25.00,138.32459783554077;;;;;;;
380.5283133983612,25.45,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
380.9861330986023,25.41,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
381.6645390987396,25.41,25.07,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
381.9984037876129,25.41,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
382.5595192909241,25.41,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
383.0072240829468,25.39,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
383.6648585796356,25.41,25.10,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
384.0179283618927,25.43,25.12,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
384.57453203201294,25.41,25.07,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
385.0299196243286,25.41,25.10,25.00,24.58,-0.00,141,25.00,138.32459783554077;;;;;;;
385.6921954154968,25.43,25.07,25.00,24.56,-0.00,141,25.00,138.32459783554077;;;;;;;
