Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
173,9.83,14.94,16.38,26.13
174,9.74,14.94,16.29,26.13
175,9.74,14.85,16.29,26.13
176,9.83,14.85,16.29,26.22
177,9.74,14.85,16.29,26.13
178,9.64,14.76,16.29,26.13
179,9.74,14.76,16.20,26.13
180,9.74,14.76,16.20,26.22
181,9.64,14.67,16.11,26.13
182,9.64,14.67,16.11,26.22
183,9.64,14.76,16.02,26.22
184,9.64,14.67,16.02,26.13
185,9.64,14.58,16.02,26.22
186,9.55,14.58,15.93,26.22
187,9.55,14.58,15.93,26.22
188,9.55,14.49,15.93,26.22
189,9.46,14.49,15.93,26.31
190,9.55,14.49,15.84,26.31
191,9.46,14.40,15.84,26.22
192,9.36,14.49,15.75,26.31
193,9.36,14.40,15.75,26.22
194,9.36,14.40,15.75,26.22
195,9.27,14.40,15.75,26.22
196,9.27,14.31,15.75,26.22
197,9.27,14.31,15.66,26.22
198,9.36,14.31,15.66,26.22
199,9.27,14.22,15.66,26.31
200,9.27,14.22,15.57,26.31
201,9.18,14.22,15.57,26.31
202,9.18,14.13,15.57,26.31
204,9.18,14.22,15.48,26.22
205,9.08,14.13,15.57,26.31
206,9.08,14.04,15.48,26.31
207,8.99,14.13,15.39,26.22
208,8.99,14.13,15.39,26.31
209,9.08,13.95,15.39,26.31
210,9.08,14.04,15.39,26.31
211,8.99,14.04,15.39,26.31
212,8.99,13.95,15.30,26.40
213,8.99,13.86,15.30,26.31
214,8.89,13.86,15.30,26.40
215,8.89,13.86,15.21,26.31
216,8.89,13.86,15.21,26.31
217,8.89,13.86,15.21,26.40
218,8.89,13.86,15.21,26.31
219,8.80,13.86,15.21,26.31
220,8.80,13.77,15.21,26.31
221,8.80,13.77,15.21,26.40
222,8.80,13.77,15.21,26.31
223,8.80,13.68,15.12,26.31
224,8.80,13.68,15.12,26.31
225,8.80,13.68,15.03,26.31
226,8.71,13.68,15.03,26.40
227,8.71,13.68,15.03,26.40
228,8.71,13.59,15.03,26.40
229,8.71,13.59,14.94,26.40
230,8.61,13.59,15.03,26.31
231,8.61,13.50,14.94,26.40
232,8.61,13.50,14.85,26.40
233,8.61,13.50,14.85,26.49
234,8.61,13.50,14.85,26.40
235,8.61,13.32,14.85,26.40
236,8.61,13.41,14.85,26.40
237,8.61,13.41,14.85,26.40
238,8.61,13.41,14.76,26.40
239,8.61,13.32,14.76,26.40
240,8.52,13.32,14.67,26.40
241,8.52,13.32,14.67,26.40
242,8.52,13.32,14.67,26.40
243,8.52,13.32,14.67,26.49
244,8.61,13.23,14.58,26.40
245,8.52,13.32,14.58,26.49
246,8.52,13.32,14.58,26.40
247,8.52,13.32,14.58,26.49
248,8.52,13.23,14.49,26.40
249,8.42,13.23,14.49,26.49
250,8.42,13.23,14.49,26.49
251,8.42,13.14,14.49,26.49
252,8.42,13.14,14.49,26.40
253,8.33,13.14,14.49,26.49
254,8.33,13.14,14.49,26.49
255,8.33,13.14,14.49,26.40
256,8.42,13.05,14.40,26.49
257,8.42,13.05,14.40,26.49
258,8.33,13.05,14.40,26.49
259,8.33,13.05,14.31,26.49
260,8.23,12.96,14.31,26.49
261,8.33,12.96,14.31,26.40
262,8.23,12.96,14.31,26.49
263,8.23,13.05,14.31,26.49
264,8.33,12.96,14.31,26.49
265,8.23,12.96,14.22,26.49
266,8.23,12.96,14.22,26.49
267,8.23,12.96,14.22,26.49
268,8.23,12.96,14.22,26.49
269,8.14,12.96,14.22,26.40
270,8.14,12.96,14.13,26.49
271,8.14,12.96,14.13,26.49
272,8.14,12.86,14.13,26.49
273,8.14,12.86,14.13,26.49
274,8.04,12.86,14.13,26.49
275,8.04,12.86,14.13,26.49
276,8.04,12.86,14.13,26.49
277,8.04,12.86,14.13,26.49
278,8.04,12.77,14.13,26.49
279,7.95,12.86,14.13,26.49
280,7.95,12.77,14.04,26.49
281,7.95,12.77,14.04,26.49
282,7.95,12.77,14.04,26.49
283,7.95,12.68,14.04,26.49
284,7.85,12.68,14.04,26.49
285,7.85,12.68,13.95,26.49
286,7.85,12.59,13.95,26.40
