Temps (s), T1 (°C), T2 (°C), T3 (°C),Ampérage (A)
168,22.7,23.51,23.51,-0.2
169,22.7,23.42,23.51,-0.2
170,22.7,23.42,23.51,-0.2
171,22.7,23.42,23.51,-0.2
172,22.7,23.42,23.51,-0.2
173,22.7,23.42,23.51,-0.2
174,22.7,23.42,23.51,-0.2
175,22.7,23.42,23.51,-0.2
176,22.7,23.42,23.51,-0.2
177,22.7,23.42,23.51,-0.2
178,22.7,23.42,23.51,-0.2
179,22.7,23.42,23.51,-0.2
180,22.7,23.42,23.51,-0.2
181,22.7,23.42,23.51,-0.2
182,22.7,23.42,23.42,-0.2
183,22.61,23.42,23.51,-0.2
184,22.61,23.42,23.51,-0.2
185,22.61,23.42,23.51,-0.2
186,22.61,23.42,23.42,-0.2
187,22.61,23.42,23.42,-0.2
188,22.61,23.42,23.42,-0.2
189,22.61,23.42,23.42,-0.2
190,22.61,23.42,23.42,-0.2
191,22.61,23.33,23.42,-0.2
192,22.61,23.42,23.42,-0.2
193,22.61,23.33,23.42,-0.2
194,22.61,23.33,23.42,-0.2
195,22.61,23.33,23.42,-0.2
196,22.61,23.33,23.42,-0.2
197,22.61,23.33,23.42,-0.2
198,22.61,23.33,23.42,-0.2
199,22.61,23.33,23.42,-0.2
200,22.61,23.33,23.42,-0.2
201,22.61,23.33,23.42,-0.2
202,22.61,23.33,23.42,-0.2
203,22.61,23.33,23.42,-0.2
204,22.61,23.33,23.42,-0.2
205,22.61,23.33,23.42,-0.2
206,22.61,23.33,23.42,-0.2
207,22.61,23.33,23.42,-0.2
208,22.61,23.33,23.42,-0.2
209,22.61,23.33,23.42,-0.2
210,22.61,23.33,23.33,-0.2
211,22.61,23.33,23.42,-0.2
212,22.61,23.33,23.33,-0.2
213,22.61,23.33,23.33,-0.2
214,22.61,23.33,23.33,-0.2
215,22.61,23.33,23.33,-0.2
216,22.61,23.33,23.33,-0.2
217,22.61,23.33,23.33,-0.2
218,22.61,23.33,23.33,-0.2
219,22.61,23.33,23.33,-0.2
220,22.61,23.33,23.33,-0.2
221,22.61,23.33,23.33,-0.2
222,22.61,23.33,23.33,-0.2
223,22.61,23.33,23.33,-0.2
224,22.61,23.33,23.33,-0.2
225,22.61,23.33,23.33,-0.2
226,22.61,23.33,23.33,-0.2
227,22.61,23.33,23.33,-0.2
228,22.52,23.33,23.33,-0.2
229,22.61,23.33,23.33,-0.2
230,22.52,23.33,23.33,-0.2
231,22.52,23.33,23.33,-0.2
232,22.52,23.24,23.33,-0.2
233,22.52,23.24,23.33,-0.2
234,22.52,23.24,23.33,-0.2
235,22.52,23.24,23.33,-0.2
236,22.52,23.24,23.33,-0.2
237,22.52,23.24,23.33,-0.2
238,22.52,23.24,23.33,-0.2
239,22.52,23.24,23.33,-0.2
240,22.52,23.24,23.33,-0.2
241,22.52,23.24,23.33,-0.2
242,22.52,23.24,23.24,-0.2
243,22.52,23.24,23.33,-0.2
244,22.52,23.24,23.33,-0.2
245,22.52,23.24,23.33,-0.2
246,22.52,23.24,23.33,-0.2
247,22.52,23.24,23.33,-0.2
248,22.52,23.24,23.33,-0.2
249,22.52,23.24,23.33,-0.2
250,22.52,23.24,23.33,-0.2
251,22.52,23.24,23.33,-0.2
252,22.52,23.24,23.24,-0.2
253,22.52,23.24,23.33,-0.2
254,22.43,23.24,23.33,-0.2
255,22.52,23.24,23.33,-0.2
256,22.52,23.24,23.24,-0.2
257,22.52,23.24,23.24,-0.2
258,22.43,23.24,23.24,-0.2
259,22.52,23.24,23.24,-0.2
260,22.52,23.15,23.24,-0.2
261,22.43,23.24,23.33,-0.2
262,22.52,23.24,23.24,-0.2
263,22.52,23.15,23.24,-0.2
264,22.43,23.24,23.24,-0.2
265,22.43,23.15,23.24,-0.2
266,22.43,23.24,23.24,-0.2
268,22.43,23.15,23.24,-0.2
269,22.43,23.24,23.24,-0.2
270,22.43,23.15,23.24,-0.2
271,22.43,23.15,23.24,-0.2
272,22.43,23.15,23.24,-0.2
273,22.43,23.15,23.24,-0.2
274,22.43,23.15,23.24,-0.2
275,22.43,23.15,23.24,-0.2
276,22.43,23.15,23.24,-0.2
277,22.43,23.15,23.24,-0.2
278,22.43,23.15,23.24,-0.2
279,22.43,23.15,23.24,-0.2
280,22.43,23.15,23.24,-0.2
281,22.43,23.15,23.24,-0.2
282,22.43,23.15,23.24,-0.2
283,22.43,23.15,23.24,-0.2
284,22.43,23.15,23.24,-0.2
285,22.43,23.15,23.24,-0.2
286,22.43,23.15,23.24,-0.2
287,22.43,23.15,23.24,-0.2
288,22.43,23.15,23.24,-0.2
289,22.43,23.15,23.24,-0.2
290,22.43,23.15,23.24,-0.2
291,22.43,23.15,23.15,-0.2
292,22.43,23.15,23.15,-0.2
293,22.43,23.15,23.24,-0.2
294,22.43,23.15,23.15,-0.2
295,22.43,23.15,23.15,-0.2
296,22.43,23.15,23.24,-0.2
297,22.43,23.15,23.24,-0.2
298,22.43,23.15,23.15,-0.2
299,22.43,23.15,23.15,-0.2
300,22.43,23.15,23.15,-0.2
301,22.43,23.15,23.15,-0.2
302,22.43,23.15,23.15,-0.2
303,22.43,23.15,23.15,-0.2
304,22.43,23.15,23.15,-0.2
305,22.43,23.15,23.15,-0.2
306,22.43,23.15,23.15,-0.2
307,22.43,23.15,23.15,-0.2
308,22.43,23.15,23.15,-0.2
309,22.43,23.15,23.15,-0.2
310,22.43,23.15,23.15,-0.2
311,22.43,23.15,23.15,-0.2
312,22.43,23.15,23.15,-0.2
313,22.43,23.15,23.15,-0.2
314,22.43,23.15,23.15,-0.2
315,22.43,23.15,23.15,-0.2
316,22.43,23.15,23.15,-0.2
317,22.43,23.15,23.15,-0.2
318,22.43,23.15,23.15,-0.2
319,22.43,23.15,23.15,-0.2
320,22.43,23.15,23.15,-0.2
321,22.43,23.15,23.15,-0.2
322,22.43,23.15,23.15,-0.2
323,22.35,23.15,23.15,-0.2
324,22.43,23.15,23.15,-0.2
325,22.43,23.15,23.15,-0.2
326,22.35,23.06,23.15,-0.2
327,22.35,23.15,23.15,-0.2
328,22.35,23.15,23.15,-0.2
329,22.35,23.15,23.15,-0.2
330,22.35,23.15,23.15,-0.2
331,22.35,23.06,23.15,-0.2
332,22.35,23.15,23.15,-0.2
333,22.35,23.15,23.15,-0.2
334,22.35,23.15,23.15,-0.2
335,22.35,23.06,23.15,-0.2
336,22.35,23.06,23.15,-0.2
337,22.35,23.15,23.15,-0.2
338,22.35,23.06,23.15,-0.2
339,22.35,23.06,23.15,-0.2
340,22.35,23.06,23.15,-0.2
341,22.35,23.06,23.15,-0.2
342,22.35,23.06,23.15,-0.2
343,22.35,23.06,23.15,-0.2
344,22.35,23.06,23.15,-0.2
345,22.35,23.06,23.15,-0.2
346,22.35,23.06,23.15,-0.2
347,22.35,23.06,23.15,-0.2
348,22.35,23.06,23.15,-0.2
349,22.35,23.06,23.15,-0.2
350,22.35,23.06,23.15,-0.2
351,22.35,23.06,23.15,-0.2
352,22.35,23.06,23.15,-0.2
353,22.35,23.06,23.15,-0.2
354,22.35,23.06,23.15,-0.2
355,22.35,23.06,23.15,-0.2
356,22.35,23.06,23.15,-0.2
357,22.35,23.06,23.15,-0.2
358,22.35,23.06,23.15,-0.2
359,22.35,23.06,23.15,-0.2
360,22.35,23.06,23.15,-0.2
361,22.35,23.06,23.15,-0.2
362,22.35,23.06,23.15,-0.2
363,22.35,23.06,23.15,-0.2
364,22.35,23.06,23.15,-0.2
365,22.35,23.06,23.15,-0.2
366,22.35,23.06,23.15,-0.2
367,22.35,23.06,23.06,-0.2
368,22.35,23.06,23.15,-0.2
369,22.35,23.06,23.15,-0.2
370,22.35,23.06,23.15,-0.2
371,22.35,23.06,23.15,-0.2
372,22.35,23.06,23.15,-0.2
373,22.35,23.06,23.15,-0.2
374,22.35,23.06,23.15,-0.2
375,22.35,23.06,23.15,-0.2
376,22.35,23.06,23.15,-0.2
377,22.35,23.06,23.15,-0.2
378,22.35,23.06,23.15,-0.2
379,22.35,23.06,23.15,-0.2
380,22.35,23.06,23.15,-0.2
381,22.35,23.06,23.15,-0.2
382,22.35,23.06,23.15,-0.2
383,22.35,23.06,23.15,-0.2
384,22.35,23.06,23.15,-0.2
385,22.35,23.06,23.15,-0.2
386,22.35,23.06,23.15,-0.2
387,22.35,23.06,23.06,-0.2
388,22.35,23.06,23.06,-0.2
389,22.35,23.06,23.06,-0.2
390,22.35,23.06,23.06,-0.2
391,22.35,23.06,23.06,-0.2
392,22.35,23.06,23.06,-0.2
393,22.35,23.06,23.06,-0.2
394,22.35,23.06,23.15,-0.2
395,22.35,23.06,23.15,-0.2
396,22.35,23.06,23.06,-0.2
397,22.35,23.06,23.06,-0.2
398,22.35,23.06,23.06,-0.2
399,22.35,23.06,23.06,-0.2
400,22.35,23.06,23.15,-0.2
401,22.35,23.06,23.06,-0.2
402,22.35,23.06,23.06,-0.2
403,22.35,23.06,23.15,-0.2
404,22.35,23.06,23.06,-0.2
405,22.35,23.06,23.15,-0.2
406,22.35,23.06,23.06,-0.2
407,22.35,23.06,23.06,-0.2
408,22.26,23.06,23.06,-0.2
409,22.35,23.06,23.06,-0.2
410,22.35,23.06,23.06,-0.2
411,22.26,23.06,23.06,-0.2
412,22.35,23.06,23.06,-0.2
413,22.26,23.06,23.06,-0.2
414,22.35,23.06,23.06,-0.2
415,22.35,23.06,23.06,-0.2
416,22.26,23.06,23.06,-0.2
417,22.35,23.06,23.06,-0.2
418,22.26,22.97,23.06,-0.2
419,22.26,23.06,23.06,-0.2
420,22.35,22.97,23.06,-0.2
421,22.26,23.06,23.06,-0.2
422,22.26,23.06,23.06,-0.2
423,22.26,23.06,23.06,-0.2
424,22.26,23.06,23.06,-0.2
425,22.26,23.06,23.06,-0.2
426,22.26,22.97,23.06,-0.2
427,22.26,22.97,23.06,-0.2
428,22.26,22.97,23.06,-0.2
429,22.26,23.06,23.06,-0.2
430,22.26,22.97,23.06,-0.2
431,22.26,22.97,23.06,-0.2
432,22.26,23.06,23.06,-0.2
433,22.26,23.06,23.06,-0.2
434,22.26,23.06,23.06,-0.2
435,22.26,23.06,23.06,-0.2
436,22.26,22.97,23.06,-0.2
437,22.26,23.06,23.06,-0.2
438,22.26,22.97,23.06,-0.2
439,22.26,22.97,23.06,-0.2
440,22.26,22.97,23.06,-0.2
441,22.35,22.97,23.06,-0.2
442,22.35,22.97,23.06,-0.2
443,22.35,22.97,23.06,-0.2
444,22.35,22.97,23.06,-0.2
445,22.35,22.97,23.06,-0.2
446,22.35,22.97,23.06,-0.2
447,22.35,23.06,23.06,-0.2
448,22.35,23.06,23.06,-0.2
449,22.35,22.97,23.06,-0.2
450,22.35,23.06,23.06,-0.2
451,22.35,22.97,23.06,-0.2
452,22.35,23.06,23.06,-0.2
453,22.35,23.06,23.06,-0.2
454,22.35,23.06,23.06,-0.2
455,22.35,22.97,23.06,-0.2
456,22.35,23.06,23.06,-0.2
457,22.35,23.06,23.06,-0.2
458,22.35,22.97,23.06,-0.2
459,22.35,23.06,23.06,-0.2
460,22.35,23.06,23.06,-0.2
461,22.35,23.06,23.06,-0.2
462,22.35,23.06,23.06,-0.2
463,22.35,22.97,23.06,-0.2
464,22.35,22.97,23.06,-0.2
465,22.35,23.06,23.06,-0.2
466,22.35,23.06,23.06,-0.2
467,22.35,23.06,23.06,-0.2
468,22.35,23.06,23.06,-0.2
469,22.35,23.06,23.06,-0.2
470,22.35,23.06,23.06,-0.2
471,22.35,23.06,23.06,-0.2
472,22.35,23.06,23.06,-0.2
473,22.35,22.97,23.06,-0.2
474,22.26,23.06,23.06,-0.2
475,22.35,23.06,23.06,-0.2
476,22.35,22.97,23.06,-0.2
477,22.35,22.97,23.06,-0.2
478,22.35,22.97,23.06,-0.2
479,22.35,22.97,23.06,-0.2
480,22.26,23.06,23.06,-0.2
481,22.35,22.97,23.06,-0.2
482,22.26,22.97,23.06,-0.2
483,22.35,22.97,23.06,-0.2
484,22.35,22.97,23.06,-0.2
485,22.26,22.97,23.06,-0.2
486,22.26,23.06,23.06,-0.2
487,22.26,22.97,23.06,-0.2
488,22.35,22.97,23.06,-0.2
489,22.26,22.97,23.06,-0.2
490,22.26,23.06,23.06,-0.2
491,22.26,22.97,23.06,-0.2
492,22.26,22.97,23.06,-0.2
493,22.26,22.97,23.06,-0.2
494,22.26,22.97,23.06,-0.2
495,22.26,22.97,23.06,-0.2
496,22.26,22.97,23.06,-0.2
497,22.26,22.97,23.06,-0.2
498,22.26,22.97,23.06,-0.2
499,22.26,22.97,23.06,-0.2
500,22.26,22.97,23.06,-0.2
501,22.26,22.97,23.06,-0.2
502,22.26,23.06,23.06,-0.2
503,22.35,22.97,23.06,-0.2
504,22.26,22.97,23.06,-0.2
505,22.35,22.97,23.06,-0.2
506,22.35,22.97,23.06,-0.2
507,22.35,22.97,23.06,-0.2
508,22.35,22.97,23.06,-0.2
509,22.35,22.97,23.06,-0.2
