Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
0,22.35,22.70,22.70
1,22.35,22.70,22.70
2,22.43,22.70,22.70
3,22.35,22.70,22.70
4,22.35,22.70,22.70
5,22.35,22.70,22.70
6,22.35,22.70,22.70
7,22.35,22.70,22.70
8,22.35,22.70,22.70
9,22.35,22.70,22.61
10,22.35,22.70,22.70
11,22.35,22.70,22.61
12,22.35,22.70,22.70
13,22.61,22.70,22.70
14,23.06,22.70,22.61
15,23.51,22.70,22.61
16,23.96,22.70,22.61
17,24.41,22.70,22.61
18,24.77,22.70,22.61
19,25.22,22.79,22.61
20,25.58,22.79,22.61
21,25.86,22.88,22.61
22,26.13,22.88,22.61
23,26.40,22.97,22.61
24,26.68,23.06,22.61
25,26.95,23.15,22.61
26,27.13,23.15,22.61
27,27.32,23.24,22.61
28,27.59,23.33,22.61
29,27.78,23.42,22.61
30,27.96,23.51,22.70
31,28.15,23.60,22.79
32,28.33,23.78,22.79
33,28.52,23.78,22.79
34,28.70,23.87,22.79
35,28.79,24.05,22.79
36,28.89,24.14,22.88
37,29.07,24.23,22.88
38,29.17,24.32,22.97
39,29.35,24.41,23.06
40,29.45,24.50,23.06
41,29.63,24.59,23.15
42,29.73,24.68,23.15
43,29.82,24.77,23.24
44,30.01,24.86,23.24
45,30.10,24.95,23.33
46,30.20,25.04,23.42
47,30.39,25.13,23.42
48,30.48,25.31,23.51
49,30.67,25.31,23.60
50,30.76,25.40,23.60
51,30.86,25.49,23.69
52,31.05,25.58,23.78
53,31.14,25.77,23.78
54,31.24,25.77,23.87
55,31.24,25.86,23.96
56,31.33,26.04,24.05
57,31.43,26.04,24.14
58,31.52,26.13,24.14
59,31.52,26.31,24.23
60,31.62,26.31,24.32
61,31.72,26.49,24.32
62,31.81,26.49,24.50
63,31.91,26.59,24.50
64,31.91,26.68,24.59
65,32.10,26.77,24.68
66,32.10,26.86,24.77
67,32.20,26.86,24.86
68,32.29,27.04,24.95
69,32.39,27.04,25.04
70,32.49,27.13,25.04
71,32.49,27.23,25.13
72,32.58,27.32,25.13
73,32.68,27.32,25.22
74,32.78,27.41,25.31
75,32.78,27.50,25.40
76,32.87,27.59,25.49
77,32.97,27.69,25.49
78,33.07,27.78,25.58
79,33.16,27.87,25.67
80,33.16,27.87,25.77
81,33.26,27.96,25.86
82,33.36,28.05,25.86
83,33.46,28.05,25.95
84,33.55,28.15,26.04
85,33.65,28.24,26.13
86,33.75,28.33,26.13
87,33.85,28.33,26.22
88,33.85,28.42,26.22
89,33.95,28.52,26.31
90,34.04,28.52,26.40
91,34.14,28.61,26.49
92,34.14,28.70,26.49
93,34.24,28.79,26.59
94,34.34,28.79,26.68
95,34.34,28.89,26.77
96,34.44,28.98,26.77
97,34.54,28.98,26.86
98,34.54,29.07,26.86
99,34.64,29.07,26.95
100,34.64,29.17,27.04
101,34.64,29.26,27.04
102,34.74,29.35,27.13
103,34.84,29.35,27.23
104,34.84,29.45,27.32
105,34.94,29.54,27.32
106,35.04,29.54,27.41
107,35.04,29.63,27.50
108,35.14,29.73,27.50
109,35.14,29.73,27.59
110,35.24,29.82,27.59
111,35.24,29.92,27.69
112,35.34,29.92,27.78
113,35.34,30.01,27.78
114,35.44,30.01,27.87
115,35.54,30.10,27.87
116,35.54,30.10,27.96
117,35.64,30.20,28.05
118,35.64,30.20,28.05
119,35.64,30.29,28.15
120,35.74,30.39,28.15
121,35.74,30.48,28.24
122,35.84,30.48,28.33
123,35.84,30.57,28.33
124,35.84,30.57,28.42
125,35.94,30.67,28.42
126,36.04,30.67,28.52
127,36.04,30.76,28.52
128,36.14,30.76,28.61
129,36.14,30.86,28.70
130,36.24,30.95,28.70
131,36.35,30.95,28.79
132,36.35,31.05,28.79
133,36.45,31.05,28.89
134,36.45,31.14,28.89
