Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
224,14.31,16.91,17.98
225,14.31,16.91,17.98
226,14.31,16.91,17.89
227,14.31,16.91,17.89
228,14.31,16.91,17.89
229,14.31,16.91,17.80
230,14.31,16.91,17.80
231,14.31,16.82,17.80
232,14.31,16.82,17.80
233,14.31,16.82,17.80
234,14.31,16.82,17.80
235,14.31,16.82,17.89
236,14.40,16.73,17.80
237,14.31,16.82,17.80
238,14.31,16.73,17.80
239,14.31,16.73,17.80
240,14.31,16.73,17.80
241,14.22,16.73,17.80
242,14.22,16.73,17.80
243,14.22,16.73,17.80
244,14.13,16.73,17.80
245,14.13,16.73,17.80
246,14.04,16.73,17.80
247,14.04,16.73,17.80
248,14.04,16.82,17.80
249,13.95,16.73,17.80
250,13.95,16.73,17.80
251,13.95,16.73,17.80
252,13.95,16.73,17.80
253,13.95,16.73,17.71
254,13.86,16.73,17.80
255,13.86,16.73,17.80
256,13.86,16.73,17.80
257,13.86,16.64,17.71
258,13.86,16.64,17.71
259,13.77,16.64,17.71
260,13.77,16.73,17.71
261,13.77,16.64,17.71
262,13.77,16.64,17.71
263,13.77,16.64,17.71
264,13.77,16.55,17.71
265,13.68,16.55,17.62
266,13.68,16.55,17.62
267,13.77,16.55,17.62
268,13.77,16.55,17.62
270,13.77,16.46,17.62
271,13.77,16.55,17.62
272,13.86,16.55,17.54
273,13.86,16.55,17.54
274,13.86,16.46,17.54
275,13.86,16.46,17.62
276,13.77,16.46,17.54
277,13.77,16.46,17.54
278,13.77,16.46,17.54
279,13.86,16.46,17.54
280,13.77,16.46,17.54
281,13.77,16.46,17.45
282,13.77,16.38,17.54
283,13.77,16.38,17.54
284,13.68,16.46,17.54
285,13.68,16.46,17.54
286,13.68,16.46,17.54
287,13.68,16.38,17.54
288,13.77,16.38,17.54
289,13.77,16.38,17.54
290,13.77,16.38,17.54
291,13.86,16.38,17.54
292,13.86,16.38,17.54
293,13.86,16.38,17.54
294,13.86,16.38,17.54
295,13.86,16.38,17.54
296,13.95,16.38,17.54
297,13.95,16.38,17.45
298,13.86,16.38,17.54
299,13.86,16.38,17.45
300,13.86,16.38,17.45
301,13.86,16.38,17.45
302,13.86,16.38,17.45
303,13.86,16.38,17.45
304,13.77,16.38,17.45
305,13.77,16.38,17.45
306,13.86,16.38,17.45
307,13.86,16.38,17.45
308,13.86,16.38,17.36
309,13.77,16.38,17.45
310,13.77,16.38,17.45
311,13.77,16.38,17.36
312,13.77,16.38,17.36
313,13.77,16.38,17.45
314,13.77,16.38,17.45
315,13.68,16.38,17.45
316,13.68,16.38,17.45
317,13.68,16.38,17.45
318,13.68,16.38,17.36
319,13.68,16.29,17.45
320,13.77,16.29,17.45
321,13.77,16.29,17.45
322,13.77,16.29,17.45
323,13.77,16.29,17.45
324,13.77,16.29,17.36
325,13.77,16.29,17.36
326,13.86,16.29,17.27
327,13.86,16.29,17.36
328,13.86,16.29,17.36
329,13.86,16.29,17.27
330,13.86,16.29,17.36
331,13.86,16.29,17.36
332,13.86,16.29,17.36
333,13.86,16.29,17.27
334,13.86,16.29,17.36
335,13.86,16.29,17.27
336,13.86,16.20,17.27
337,13.86,16.29,17.27
338,13.86,16.29,17.27
339,13.86,16.20,17.27
340,13.86,16.20,17.27
341,13.86,16.20,17.27
342,13.86,16.20,17.27
343,13.86,16.20,17.18
344,13.86,16.20,17.18
345,13.86,16.20,17.18
346,13.86,16.20,17.18
347,13.86,16.29,17.18
348,13.86,16.29,17.18
349,13.86,16.20,17.18
350,13.86,16.20,17.18
351,13.86,16.29,17.18
352,13.86,16.20,17.18
353,13.77,16.20,17.18
354,13.77,16.20,17.18
355,13.68,16.20,17.18
356,13.68,16.20,17.18
357,13.77,16.20,17.18
358,13.77,16.20,17.18
359,13.77,16.20,17.18
360,13.77,16.20,17.18
361,13.77,16.20,17.18
362,13.77,16.29,17.18
363,13.77,16.20,17.18
364,13.77,16.29,17.27
365,13.68,16.20,17.27
366,13.68,16.29,17.27
367,13.68,16.29,17.27
368,13.68,16.29,17.27
369,13.68,16.29,17.27
370,13.68,16.29,17.27
371,13.68,16.29,17.27
372,13.68,16.29,17.27
373,13.68,16.29,17.27
374,13.77,16.20,17.27
375,13.77,16.29,17.27
376,13.77,16.29,17.27
377,13.77,16.29,17.36
378,13.77,16.29,17.27
379,13.68,16.29,17.27
380,13.68,16.29,17.27
381,13.68,16.29,17.27
382,13.68,16.29,17.27
383,13.77,16.20,17.27
384,13.68,16.20,17.27
385,13.68,16.20,17.27
386,13.68,16.20,17.27
387,13.68,16.20,17.27
388,13.59,16.20,17.27
389,13.59,16.20,17.27
390,13.59,16.29,17.27
391,13.59,16.20,17.27
392,13.59,16.20,17.18
393,13.59,16.20,17.27
394,13.50,16.20,17.27
395,13.50,16.20,17.27
396,13.50,16.20,17.18
397,13.50,16.20,17.27
398,13.50,16.20,17.27
399,13.50,16.20,17.27
400,13.50,16.20,17.27
