Temps (s),T1 (°C),T2 (°C),T3 (°C),T4 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C), T4 (°C)
173,17.09,19.58,20.03,23.78
174,17.09,19.58,20.03,23.78
175,17.18,19.58,20.03,23.78
176,17.09,19.58,20.03,23.78
177,17.00,19.58,20.03,23.69
178,17.18,19.58,19.94,23.78
179,17.09,19.58,19.94,23.78
180,17.09,19.49,19.94,23.69
181,17.00,19.49,19.94,23.78
182,17.00,19.49,19.94,23.78
183,17.00,19.49,19.94,23.78
184,17.00,19.49,19.85,23.78
185,17.00,19.49,19.85,23.78
186,17.00,19.40,19.85,23.78
187,17.00,19.49,19.85,23.78
188,16.91,19.32,19.85,23.78
189,16.91,19.40,19.85,23.78
190,17.00,19.40,19.76,23.69
191,16.91,19.40,19.85,23.78
192,16.91,19.40,19.76,23.87
193,16.91,19.40,19.76,23.87
194,16.82,19.32,19.76,23.78
195,17.00,19.32,19.76,23.78
196,16.91,19.32,19.76,23.78
197,16.91,19.32,19.76,23.78
198,16.82,19.32,19.76,23.78
199,16.82,19.32,19.67,23.78
200,16.82,19.32,19.76,23.78
201,16.82,19.32,19.67,23.87
202,16.82,19.23,19.67,23.78
204,16.91,19.23,19.67,23.78
205,16.82,19.32,19.67,23.78
206,16.82,19.23,19.67,23.78
207,16.82,19.23,19.67,23.78
208,16.73,19.23,19.58,23.78
209,16.73,19.23,19.58,23.87
210,16.73,19.14,19.58,23.78
211,16.73,19.14,19.58,23.78
212,16.73,19.14,19.58,23.78
213,16.73,19.14,19.58,23.78
214,16.82,19.14,19.58,23.78
215,16.73,19.14,19.58,23.78
216,16.73,19.14,19.58,23.87
217,16.82,19.14,19.49,23.87
218,16.73,19.14,19.49,23.78
219,16.73,19.14,19.49,23.87
220,16.73,19.05,19.49,23.78
221,16.73,19.14,19.49,23.87
222,16.73,19.14,19.58,23.78
223,16.64,19.05,19.49,23.87
224,16.73,19.05,19.49,23.78
225,16.64,18.96,19.49,23.78
226,16.64,19.14,19.49,23.78
227,16.73,19.05,19.49,23.78
228,16.64,19.05,19.49,23.78
229,16.64,19.05,19.49,23.87
230,16.64,19.05,19.49,23.78
231,16.55,19.05,19.40,23.87
232,16.55,18.96,19.40,23.87
233,16.64,18.96,19.40,23.78
234,16.64,19.05,19.40,23.78
235,16.55,18.96,19.40,23.87
236,16.55,19.05,19.32,23.87
237,16.73,18.96,19.32,23.87
238,16.55,18.96,19.32,23.87
239,16.55,18.96,19.32,23.87
240,16.64,18.87,19.32,23.78
241,16.55,18.96,19.32,23.78
242,16.64,18.87,19.32,23.78
243,16.55,18.96,19.32,23.87
244,16.64,18.87,19.32,23.78
245,16.55,18.87,19.32,23.78
246,16.55,18.87,19.23,23.87
247,16.55,18.87,19.32,23.87
248,16.55,18.87,19.32,23.87
249,16.55,18.87,19.23,23.87
250,16.55,18.87,19.23,23.87
251,16.55,18.87,19.23,23.78
252,16.64,18.87,19.23,23.78
253,16.46,18.87,19.23,23.78
254,16.46,18.87,19.32,23.87
255,16.46,18.87,19.23,23.78
256,16.46,18.87,19.23,23.87
257,16.55,18.87,19.32,23.78
258,16.55,18.87,19.23,23.78
259,16.46,18.87,19.23,23.78
260,16.46,18.78,19.23,23.87
261,16.46,18.78,19.23,23.87
262,16.55,18.87,19.23,23.87
263,16.55,18.87,19.23,23.78
264,16.55,18.87,19.23,23.87
265,16.46,18.78,19.23,23.87
266,16.55,18.87,19.23,23.87
267,16.46,18.87,19.23,23.78
268,16.46,18.87,19.23,23.87
269,16.46,18.78,19.23,23.87
270,16.46,18.78,19.14,23.87
271,16.46,18.78,19.14,23.87
272,16.46,18.78,19.14,23.87
273,16.46,18.78,19.14,23.87
274,16.46,18.78,19.14,23.87
275,16.46,18.69,19.14,23.87
276,16.46,18.78,19.14,23.87
277,16.55,18.69,19.14,23.87
278,16.46,18.69,19.14,23.87
279,16.46,18.69,19.05,23.87
280,16.46,18.69,19.14,23.87
281,16.46,18.69,19.05,23.87
282,16.46,18.69,19.05,23.87
283,16.38,18.69,19.05,23.87
284,16.38,18.69,19.05,23.87
285,16.38,18.69,19.05,23.87
286,16.38,18.69,19.05,23.87
287,16.29,18.69,19.05,23.87
288,16.38,18.69,19.05,23.87
289,16.38,18.69,19.05,23.87
290,16.38,18.60,19.05,23.96
291,16.29,18.60,19.05,23.87
292,16.38,18.60,19.05,23.87
293,16.38,18.69,19.05,23.87
294,16.46,18.60,19.05,23.87
295,16.29,18.60,19.05,23.87
296,16.38,18.69,19.05,23.87
297,16.29,18.60,19.05,23.87
298,16.20,18.60,19.05,23.87
299,16.29,18.60,18.96,23.87
300,16.29,18.60,18.96,23.87
301,16.29,18.60,19.05,23.87
302,16.29,18.60,19.05,23.87
303,16.29,18.60,18.96,23.87
304,16.29,18.60,18.96,23.87
305,16.29,18.60,19.05,23.87
306,16.29,18.60,18.96,23.87
307,16.29,18.60,18.96,23.87
308,16.20,18.51,18.96,23.87
309,16.29,18.60,18.96,23.87
310,16.29,18.60,18.96,23.87
311,16.29,18.51,18.96,23.87
312,16.29,18.51,18.96,23.87
313,16.20,18.51,18.96,23.96
314,16.29,18.51,18.96,23.87
315,16.29,18.51,18.87,23.87
316,16.29,18.51,18.96,23.87
317,16.29,18.51,18.87,23.87
318,16.29,18.51,18.96,23.87
319,16.20,18.51,18.87,23.87
320,16.20,18.51,18.96,23.96
321,16.20,18.60,18.96,23.96
322,16.20,18.51,18.87,23.96
323,16.20,18.51,18.87,23.87
324,16.29,18.51,18.87,23.96
325,16.20,18.51,18.87,23.87
326,16.20,18.51,18.87,23.87
327,16.29,18.51,18.87,23.96
328,16.29,18.51,18.87,24.05
329,16.38,18.51,18.87,23.87
330,16.38,18.51,18.87,23.87
331,16.38,18.51,18.87,23.87
332,16.38,18.51,18.87,23.96
333,16.38,18.60,18.87,23.87
334,16.38,18.51,18.87,23.87
335,16.38,18.51,18.87,23.87
336,16.38,18.51,18.87,23.87
337,16.38,18.51,18.87,23.96
338,16.38,18.51,18.87,23.96
339,16.38,18.51,18.87,23.96
340,16.38,18.51,18.87,23.87
341,16.29,18.51,18.87,24.05
342,16.38,18.51,18.87,23.96
343,16.29,18.51,18.87,23.87
344,16.29,18.51,18.78,23.96
345,16.20,18.51,18.87,23.96
346,16.20,18.51,18.87,23.96
347,16.20,18.51,18.87,23.87
348,16.20,18.51,18.87,23.96
349,16.20,18.51,18.87,23.96
350,16.20,18.51,18.87,23.87
351,16.20,18.43,18.87,23.87
352,16.20,18.51,18.87,23.96
353,16.20,18.51,18.87,23.96
354,16.20,18.43,18.87,23.96
355,16.20,18.43,18.78,23.87
356,16.20,18.43,18.87,23.96
357,16.20,18.43,18.78,23.87
358,16.20,18.43,18.78,23.96
359,16.20,18.51,18.78,23.96
360,16.11,18.43,18.78,23.87
361,16.20,18.43,18.78,23.87
362,16.11,18.43,18.87,23.96
363,16.20,18.43,18.78,23.87
364,16.20,18.34,18.78,23.96
365,16.20,18.43,18.78,23.96
366,16.20,18.51,18.69,23.96
367,16.11,18.43,18.78,23.87
368,16.20,18.43,18.78,23.96
369,16.20,18.43,18.78,23.87
370,16.11,18.43,18.78,23.87
371,16.11,18.43,18.78,23.96
372,16.11,18.43,18.78,23.87
373,16.20,18.43,18.78,23.96
374,16.11,18.34,18.78,23.87
375,16.11,18.43,18.78,23.87
376,16.11,18.34,18.78,23.87
377,16.11,18.51,18.78,23.96
378,16.11,18.34,18.78,23.96
379,16.11,18.43,18.78,23.87
380,16.11,18.43,18.78,23.87
381,16.11,18.43,18.78,23.87
382,16.02,18.34,18.69,23.87
383,16.11,18.34,18.78,23.87
384,16.11,18.43,18.78,23.96
385,16.11,18.34,18.69,23.96
386,16.11,18.43,18.69,23.87
387,16.11,18.43,18.69,23.96
388,16.11,18.43,18.69,23.87
389,16.11,18.34,18.69,23.96
390,16.11,18.43,18.69,23.96
391,16.11,18.34,18.69,23.87
392,16.11,18.34,18.69,23.87
393,16.11,18.34,18.69,23.96
394,16.02,18.34,18.69,23.87
395,16.11,18.34,18.69,23.87
396,16.02,18.34,18.69,23.87
397,16.11,18.34,18.69,23.87
398,16.02,18.34,18.69,23.87
399,16.02,18.34,18.69,23.87
400,16.11,18.34,18.69,23.87
401,16.02,18.34,18.69,23.87
402,16.02,18.34,18.69,23.87
403,16.02,18.25,18.69,23.87
404,16.02,18.34,18.69,23.87
405,16.11,18.34,18.69,23.87
406,16.02,18.25,18.69,23.87
408,16.02,18.34,18.69,23.87
409,16.02,18.34,18.69,23.87
410,16.02,18.25,18.69,23.87
411,16.02,18.25,18.69,23.87
412,16.02,18.34,18.69,23.87
413,16.02,18.34,18.69,23.87
414,16.11,18.25,18.60,23.87
415,16.02,18.25,18.69,23.87
416,16.11,18.25,18.60,23.87
417,16.02,18.34,18.60,23.87
418,16.02,18.25,18.60,23.87
419,16.02,18.25,18.60,23.87
420,16.02,18.34,18.60,23.87
421,16.02,18.34,18.60,23.87
422,16.02,18.25,18.60,23.87
423,16.02,18.25,18.69,23.87
424,16.02,18.25,18.60,23.87
425,16.02,18.25,18.60,23.87
426,16.02,18.25,18.60,23.87
427,16.02,18.25,18.60,23.87
428,16.02,18.25,18.60,23.87
429,16.02,18.34,18.69,23.96
430,16.02,18.25,18.69,23.87
431,15.93,18.25,18.60,23.87
432,16.02,18.25,18.69,23.87
433,16.02,18.34,18.60,23.87
434,15.93,18.25,18.60,23.87
435,16.02,18.25,18.60,23.87
436,16.02,18.25,18.60,23.87
437,16.02,18.25,18.60,23.87
438,16.02,18.25,18.60,23.87
439,16.02,18.25,18.60,23.87
440,16.02,18.25,18.60,23.87
441,16.02,18.25,18.60,23.87
442,16.02,18.25,18.60,23.87
443,16.02,18.25,18.51,23.87
444,16.02,18.25,18.60,23.87
445,15.93,18.16,18.60,23.87
446,15.93,18.25,18.51,23.87
447,16.02,18.25,18.51,23.87
448,15.93,18.16,18.51,23.87
449,15.93,18.16,18.51,23.87
450,15.93,18.25,18.51,23.87
451,16.02,18.16,18.51,23.87
452,15.93,18.25,18.51,23.87
453,15.93,18.25,18.51,23.87
454,15.93,18.16,18.51,23.87
455,15.93,18.16,18.60,23.78
456,16.02,18.16,18.51,23.87
457,15.93,18.25,18.51,23.87
458,15.93,18.25,18.60,23.87
459,16.02,18.25,18.51,23.87
460,16.02,18.25,18.51,23.87
461,16.02,18.25,18.51,23.87
462,16.02,18.16,18.51,23.87
463,16.02,18.25,18.51,23.87
464,15.93,18.16,18.51,23.87
465,16.02,18.16,18.51,23.87
466,15.93,18.16,18.51,23.87
467,15.93,18.25,18.51,23.87
468,15.93,18.25,18.60,23.87
469,16.02,18.25,18.51,23.87
470,15.93,18.16,18.51,23.87
471,15.93,18.16,18.51,23.87
472,15.93,18.16,18.51,23.87
473,15.93,18.16,18.51,23.87
474,15.93,18.16,18.51,23.87
475,16.02,18.16,18.51,23.87
476,15.93,18.16,18.51,23.87
477,15.93,18.16,18.51,23.87
478,15.93,18.16,18.51,23.87
479,15.93,18.16,18.51,23.87
480,15.93,18.16,18.51,23.87
481,15.93,18.16,18.51,23.87
482,15.93,18.25,18.51,23.87
483,15.93,18.16,18.51,23.87
484,15.93,18.16,18.51,23.87
485,15.93,18.16,18.51,23.87
486,15.93,18.25,18.51,23.78
487,15.84,18.25,18.51,23.78
488,15.93,18.16,18.51,23.87
489,15.84,18.16,18.43,23.87
490,15.93,18.16,18.51,23.87
491,15.93,18.16,18.51,23.78
492,15.93,18.16,18.51,23.87
493,15.93,18.16,18.51,23.78
494,15.93,18.16,18.51,23.87
495,16.02,18.16,18.51,23.87
496,15.93,18.25,18.51,23.87
497,15.93,18.16,18.51,23.87
498,15.93,18.16,18.51,23.87
499,15.93,18.16,18.51,23.87
500,15.93,18.16,18.51,23.87
501,15.93,18.16,18.43,23.87
502,15.93,18.16,18.51,23.78
503,15.93,18.16,18.51,23.78
504,15.93,18.16,18.51,23.87
505,15.93,18.16,18.51,23.87
506,15.93,18.16,18.51,23.87
507,15.93,18.16,18.51,23.87
508,15.93,18.16,18.51,23.87
509,15.93,18.16,18.51,23.87
510,15.93,18.07,18.51,23.87
511,15.93,18.16,18.51,23.87
512,15.93,18.16,18.51,23.87
513,15.93,18.16,18.51,23.87
514,15.93,18.16,18.51,23.87
515,15.84,18.16,18.43,23.87
516,15.93,18.16,18.43,23.87
517,15.93,18.16,18.51,23.87
518,15.93,18.16,18.51,23.78
519,15.93,18.16,18.43,23.87
520,15.84,18.16,18.51,23.78
521,15.93,18.16,18.43,23.78
522,15.93,18.16,18.51,23.87
523,15.93,18.16,18.51,23.87
524,15.93,18.16,18.51,23.78
525,15.93,18.16,18.51,23.87
526,15.93,18.16,18.43,23.78
527,15.93,18.16,18.51,23.87
528,15.93,18.07,18.51,23.87
529,15.84,18.16,18.43,23.78
530,15.84,18.16,18.43,23.87
531,15.84,18.16,18.43,23.87
532,15.93,18.07,18.51,23.78
533,15.93,18.07,18.51,23.87
534,15.93,18.07,18.43,23.78
535,15.84,18.07,18.43,23.87
536,15.84,18.16,18.51,23.87
537,15.93,18.16,18.51,23.78
538,15.84,18.16,18.43,23.78
539,15.84,18.16,18.43,23.78
540,15.93,18.07,18.51,23.87
541,15.93,18.16,18.43,23.87
542,15.84,18.16,18.51,23.78
543,15.84,18.07,18.43,23.78
544,15.93,18.16,18.43,23.78
545,15.84,18.16,18.51,23.78
546,15.84,18.16,18.43,23.87
547,15.84,18.16,18.51,23.87
548,15.84,18.16,18.43,23.87
549,15.93,18.16,18.51,23.87
550,15.84,18.16,18.51,23.78
551,15.84,18.16,18.43,23.87
552,15.93,18.07,18.51,23.78
553,15.84,18.07,18.43,23.87
554,15.93,18.07,18.43,23.87
555,16.02,18.16,18.43,23.78
556,15.93,18.16,18.43,23.87
557,15.93,18.16,18.43,23.87
558,16.02,18.16,18.43,23.87
559,15.93,18.16,18.43,23.78
560,15.93,18.16,18.43,23.87
561,15.93,18.16,18.43,23.78
562,16.02,18.16,18.51,23.78
563,15.93,18.16,18.43,23.87
564,16.11,18.07,18.51,23.87
565,16.02,18.16,18.51,23.87
566,16.02,18.16,18.51,23.78
567,16.02,18.16,18.51,23.87
568,16.02,18.16,18.43,23.87
569,15.93,18.16,18.51,23.87
570,16.02,18.16,18.43,23.87
571,15.93,18.16,18.43,23.87
572,15.93,18.16,18.51,23.87
573,15.93,18.16,18.51,23.87
574,16.02,18.07,18.51,23.78
575,15.93,18.07,18.43,23.87
576,15.93,18.16,18.43,23.87
577,15.93,18.16,18.43,23.87
578,15.93,18.16,18.51,23.87
579,15.93,18.16,18.43,23.78
580,15.93,18.16,18.43,23.87
581,16.02,18.16,18.43,23.87
582,15.93,18.16,18.43,23.87
583,15.93,18.25,18.43,23.87
584,16.02,18.16,18.51,23.87
585,16.02,18.16,18.43,23.87
586,16.02,18.07,18.51,23.87
587,16.11,18.16,18.51,23.87
588,16.02,18.16,18.51,23.87
589,16.11,18.16,18.51,23.87
590,16.11,18.16,18.51,23.87
591,16.11,18.16,18.51,23.87
592,16.11,18.16,18.51,23.87
593,16.02,18.16,18.51,23.87
594,16.20,18.16,18.51,23.87
595,16.11,18.25,18.51,23.87
596,16.11,18.25,18.51,23.96
597,16.11,18.25,18.43,23.96
598,16.02,18.25,18.51,23.96
599,16.11,18.25,18.51,23.87
600,16.11,18.16,18.51,23.96
601,16.11,18.25,18.51,23.96
602,16.11,18.16,18.51,23.87
603,16.02,18.25,18.51,23.87
604,16.02,18.16,18.51,23.87
605,16.11,18.16,18.51,23.87
606,16.02,18.16,18.51,23.87
607,16.11,18.16,18.51,23.96
608,16.11,18.16,18.51,23.87
609,16.02,18.16,18.51,23.87
610,16.02,18.25,18.51,23.87
612,16.02,18.16,18.51,23.87
613,16.02,18.16,18.51,23.87
614,16.11,18.16,18.51,23.96
615,16.02,18.25,18.51,23.87
616,16.02,18.25,18.51,23.96
617,16.02,18.25,18.51,23.96
618,16.11,18.25,18.51,23.96
619,16.02,18.25,18.51,23.96
620,16.02,18.25,18.51,23.96
621,16.02,18.16,18.51,23.96
622,15.93,18.25,18.51,23.87
623,15.93,18.16,18.51,23.87
624,16.02,18.16,18.51,23.96
625,16.02,18.25,18.60,23.96
626,16.02,18.16,18.51,23.96
627,16.02,18.16,18.51,23.96
628,16.02,18.07,18.60,23.96
629,15.93,18.16,18.51,23.96
630,15.93,18.16,18.51,23.87
631,16.02,18.16,18.51,23.96
632,15.93,18.16,18.60,23.96
633,15.93,18.16,18.51,23.96
634,15.93,18.16,18.51,23.87
635,15.93,18.16,18.60,23.87
636,16.02,18.16,18.51,23.96
637,15.93,18.16,18.51,23.96
638,15.93,18.16,18.51,23.96
639,16.02,18.16,18.51,23.96
640,16.02,18.16,18.51,23.96
641,16.02,18.16,18.51,23.96
642,15.93,18.16,18.51,23.87
643,15.93,18.16,18.51,23.96
644,15.93,18.16,18.51,23.96
645,15.93,18.16,18.51,23.96
646,15.93,18.16,18.51,23.87
647,15.93,18.16,18.51,23.96
648,16.02,18.16,18.51,23.87
649,15.93,18.16,18.51,23.87
650,15.93,18.16,18.51,23.96
651,15.84,18.16,18.51,23.87
652,15.84,18.16,18.51,23.96
653,15.93,18.16,18.51,23.96
654,15.84,18.16,18.51,23.87
655,15.93,18.16,18.51,23.96
656,15.84,18.16,18.60,23.87
657,15.84,18.16,18.51,23.96
658,15.84,18.16,18.51,23.96
659,15.84,18.07,18.51,23.87
660,15.84,18.07,18.51,23.96
661,15.84,18.16,18.60,23.96
662,15.84,18.16,18.51,23.96
663,15.84,18.16,18.51,23.96
664,15.93,18.16,18.51,23.96
665,15.93,18.16,18.51,23.87
666,15.93,18.16,18.51,23.96
667,15.93,18.16,18.51,23.96
668,15.93,18.16,18.51,23.96
669,15.93,18.16,18.60,23.96
670,16.02,18.16,18.51,23.96
671,15.93,18.16,18.51,23.96
672,15.84,18.16,18.60,23.96
673,15.93,18.16,18.60,23.96
674,15.93,18.16,18.60,23.96
675,15.84,18.16,18.60,23.87
676,15.93,18.16,18.60,23.96
677,15.93,18.16,18.60,23.96
678,15.93,18.16,18.51,23.96
679,15.93,18.16,18.60,23.96
680,15.93,18.16,18.60,23.96
681,15.93,18.16,18.60,23.96
682,15.93,18.25,18.60,23.96
683,15.93,18.16,18.51,23.96
684,15.93,18.16,18.60,23.96
685,15.93,18.16,18.51,23.96
686,15.93,18.16,18.51,23.96
687,15.93,18.16,18.60,24.05
688,15.93,18.16,18.51,23.96
689,16.02,18.16,18.60,23.96
690,15.93,18.25,18.51,23.96
691,15.93,18.16,18.51,23.96
692,15.93,18.16,18.51,23.96
693,15.93,18.16,18.51,23.96
694,15.93,18.16,18.51,23.96
695,15.93,18.16,18.51,23.96
696,15.84,18.16,18.51,23.96
697,15.93,18.16,18.60,24.05
698,15.93,18.16,18.51,23.96
699,15.84,18.07,18.51,23.96
700,15.84,18.16,18.51,23.96
701,15.84,18.16,18.51,23.96
702,15.93,18.16,18.51,23.96
703,15.93,18.16,18.51,23.96
704,15.93,18.16,18.51,23.96
705,15.93,18.16,18.51,23.96
706,15.93,18.16,18.51,23.87
707,15.93,18.16,18.51,23.96
708,15.93,18.07,18.51,23.96
709,15.93,18.16,18.51,23.96
710,15.93,18.16,18.51,23.96
711,15.84,18.16,18.51,23.96
712,15.93,18.16,18.51,23.96
713,15.93,18.16,18.43,23.96
714,15.84,18.16,18.51,23.96
715,15.84,18.16,18.51,23.96
716,15.84,18.07,18.51,23.96
717,15.84,18.16,18.51,23.96
718,15.84,18.07,18.43,23.96
719,15.84,18.07,18.51,23.96
720,15.84,18.16,18.51,23.96
721,15.84,18.16,18.51,23.87
722,15.84,18.07,18.51,23.96
723,15.84,18.16,18.43,23.96
724,15.93,18.16,18.43,23.87
725,15.84,18.07,18.43,23.96
726,15.84,18.16,18.43,23.87
727,15.84,18.07,18.43,23.87
728,15.84,18.07,18.51,23.87
729,15.84,18.07,18.43,23.87
730,15.84,18.07,18.51,23.87
731,15.84,18.16,18.51,23.87
732,15.84,18.16,18.43,23.96
733,15.84,18.16,18.51,23.96
734,15.84,18.07,18.51,23.87
735,15.84,18.07,18.43,23.96
736,15.84,18.07,18.43,23.96
737,15.75,18.07,18.43,23.96
738,15.84,18.07,18.43,23.87
739,15.93,18.07,18.43,23.87
740,15.84,18.07,18.43,23.96
741,15.84,18.07,18.43,23.87
742,15.84,18.07,18.43,23.96
743,15.84,18.07,18.43,23.87
744,15.84,18.07,18.43,23.87
745,15.84,18.07,18.43,23.87
746,15.84,18.07,18.43,23.87
747,15.84,18.07,18.43,23.87
748,15.84,18.07,18.43,23.87
749,15.84,18.07,18.43,23.87
750,15.84,18.07,18.43,23.87
751,15.75,18.07,18.43,23.87
752,15.84,17.98,18.43,23.87
753,15.75,18.07,18.43,23.87
754,15.75,18.07,18.34,23.96
755,15.75,18.07,18.43,23.87
756,15.84,18.07,18.34,23.87
757,15.84,18.07,18.51,23.87
758,15.84,18.07,18.43,23.87
759,15.84,18.07,18.43,23.87
760,15.84,18.07,18.34,23.96
761,15.84,17.98,18.34,23.87
762,15.84,18.07,18.43,23.87
763,15.84,18.07,18.34,23.87
764,15.84,18.07,18.43,23.87
765,15.84,18.07,18.43,23.87
766,15.75,18.07,18.43,23.87
767,15.84,18.07,18.43,23.87
768,15.84,18.07,18.43,23.87
769,15.75,18.07,18.43,23.87
770,15.75,17.98,18.43,23.87
771,15.75,18.07,18.43,23.87
