Temps (s),T1 (�C),T2 (�C),T3 (�C),T4 (�C)
Temps (s), T1 (�C), T2 (�C), T3 (�C), T4 (�C)
173,30.10,28.42,27.23,23.42
174,30.10,28.42,27.23,23.42
175,30.10,28.42,27.23,23.42
176,30.20,28.42,27.23,23.42
177,30.20,28.42,27.23,23.42
178,30.20,28.52,27.23,23.42
179,30.20,28.52,27.32,23.42
180,30.29,28.61,27.32,23.42
181,30.20,28.52,27.32,23.42
182,30.20,28.61,27.32,23.51
183,30.29,28.52,27.32,23.42
184,30.29,28.61,27.32,23.42
185,30.29,28.61,27.41,23.42
186,30.29,28.61,27.41,23.51
187,30.39,28.61,27.41,23.42
188,30.39,28.61,27.41,23.42
189,30.39,28.70,27.41,23.42
190,30.29,28.70,27.41,23.42
191,30.39,28.70,27.41,23.42
192,30.39,28.70,27.41,23.42
193,30.29,28.70,27.50,23.51
194,30.39,28.79,27.50,23.42
195,30.48,28.79,27.50,23.42
196,30.39,28.70,27.50,23.42
197,30.39,28.79,27.59,23.42
198,30.39,28.79,27.59,23.42
199,30.39,28.79,27.59,23.42
200,30.39,28.79,27.59,23.42
201,30.39,28.89,27.59,23.33
203,30.39,28.79,27.59,23.42
204,30.39,28.79,27.59,23.42
205,30.39,28.79,27.59,23.42
206,30.39,28.79,27.69,23.42
207,30.39,28.79,27.69,23.42
208,30.39,28.89,27.69,23.42
209,30.39,28.89,27.69,23.42
210,30.39,28.79,27.69,23.42
211,30.39,28.79,27.69,23.42
212,30.39,28.89,27.78,23.42
213,30.39,28.89,27.78,23.42
214,30.39,28.89,27.78,23.33
215,30.39,28.89,27.78,23.42
216,30.39,28.89,27.78,23.42
217,30.39,28.89,27.78,23.42
218,30.39,28.89,27.78,23.42
219,30.39,28.98,27.78,23.42
220,30.48,28.98,27.87,23.42
221,30.48,28.98,27.87,23.42
222,30.48,28.98,27.78,23.42
223,30.48,28.98,27.87,23.33
224,30.57,29.07,27.87,23.33
225,30.67,29.07,27.87,23.42
226,30.57,29.07,27.87,23.33
227,30.67,29.07,27.87,23.33
228,30.67,29.07,27.87,23.42
229,30.76,29.07,27.87,23.33
230,30.76,29.07,27.87,23.42
231,30.76,29.07,27.87,23.42
232,30.76,29.17,27.87,23.33
233,30.67,29.17,27.87,23.42
234,30.67,29.07,27.87,23.33
235,30.67,29.17,27.96,23.33
236,30.67,29.17,27.96,23.42
237,30.67,29.17,27.96,23.42
238,30.76,29.17,27.96,23.33
239,30.76,29.17,27.96,23.33
240,30.67,29.17,27.96,23.33
241,30.76,29.17,28.05,23.42
242,30.76,29.17,28.05,23.42
243,30.76,29.26,27.96,23.33
244,30.76,29.17,28.05,23.33
245,30.76,29.17,28.05,23.33
246,30.76,29.26,28.05,23.33
247,30.86,29.26,28.05,23.42
248,30.86,29.26,28.05,23.42
249,30.86,29.26,28.05,23.42
250,30.86,29.26,28.05,23.33
251,30.86,29.26,28.05,23.33
252,30.86,29.26,28.05,23.33
253,30.95,29.26,28.05,23.33
254,30.86,29.26,28.15,23.33
255,31.05,29.35,28.15,23.33
256,30.95,29.35,28.15,23.33
257,30.95,29.35,28.05,23.33
258,30.95,29.35,28.15,23.33
259,30.95,29.35,28.15,23.33
260,30.95,29.35,28.15,23.42
261,31.05,29.35,28.15,23.33
262,30.95,29.35,28.15,23.33
263,30.95,29.35,28.15,23.33
264,30.95,29.35,28.15,23.33
265,30.95,29.45,28.15,23.42
266,31.05,29.45,28.24,23.33
267,31.05,29.45,28.15,23.42
268,31.05,29.45,28.24,23.33
269,31.05,29.45,28.24,23.33
270,31.05,29.45,28.24,23.33
271,31.05,29.45,28.24,23.33
272,31.05,29.45,28.24,23.42
273,31.05,29.45,28.24,23.42
274,31.05,29.54,28.33,23.33
275,31.05,29.54,28.33,23.33
276,31.05,29.54,28.33,23.42
277,31.14,29.54,28.33,23.42
278,31.14,29.54,28.33,23.42
279,31.14,29.54,28.33,23.42
280,31.14,29.54,28.33,23.33
281,31.14,29.54,28.33,23.33
282,31.14,29.54,28.33,23.33
283,31.14,29.54,28.33,23.33
284,31.14,29.54,28.33,23.33
285,31.14,29.63,28.42,23.42
286,31.14,29.54,28.42,23.42
287,31.14,29.63,28.33,23.42
288,31.14,29.63,28.42,23.42
289,31.14,29.63,28.42,23.42
290,31.24,29.63,28.42,23.33
291,31.14,29.63,28.42,23.33
292,31.24,29.63,28.42,23.42
293,31.24,29.63,28.42,23.33
294,31.24,29.63,28.42,23.42
295,31.24,29.63,28.42,23.33
296,31.24,29.63,28.42,23.33
297,31.24,29.63,28.42,23.42
298,31.24,29.73,28.52,23.42
299,31.33,29.73,28.52,23.42
300,31.33,29.73,28.52,23.42
301,31.33,29.73,28.52,23.42
302,31.33,29.73,28.52,23.33
303,31.33,29.73,28.52,23.42
304,31.33,29.73,28.52,23.33
305,31.33,29.73,28.52,23.42
306,31.33,29.73,28.52,23.33
307,31.33,29.73,28.52,23.33
308,31.33,29.73,28.52,23.42
309,31.33,29.73,28.52,23.42
310,31.33,29.73,28.52,23.33
311,31.33,29.73,28.52,23.42
312,31.33,29.82,28.52,23.42
313,31.33,29.73,28.52,23.42
314,31.33,29.82,28.52,23.33
315,31.33,29.73,28.52,23.42
316,31.33,29.82,28.61,23.33
317,31.33,29.82,28.61,23.33
318,31.43,29.82,28.61,23.33
319,31.43,29.82,28.61,23.33
320,31.43,29.82,28.61,23.33
321,31.33,29.82,28.61,23.42
322,31.33,29.82,28.61,23.33
323,31.43,29.82,28.61,23.33
324,31.43,29.82,28.61,23.42
325,31.43,29.82,28.61,23.33
326,31.33,29.82,28.61,23.33
327,31.33,29.82,28.61,23.33
328,31.43,29.82,28.61,23.33
329,31.43,29.92,28.70,23.33
330,31.43,29.92,28.70,23.42
331,31.33,29.82,28.61,23.33
332,31.43,29.82,28.70,23.42
333,31.43,29.92,28.70,23.42
334,31.43,29.92,28.70,23.33
335,31.43,29.92,28.70,23.33
336,31.43,29.92,28.70,23.33
337,31.43,29.82,28.70,23.42
338,31.43,29.92,28.70,23.33
339,31.43,29.92,28.70,23.42
340,31.43,29.92,28.70,23.42
341,31.43,29.92,28.70,23.33
342,31.43,29.92,28.70,23.42
343,31.43,29.92,28.70,23.42
344,31.43,29.92,28.70,23.33
345,31.43,29.92,28.70,23.33
346,31.52,29.92,28.70,23.33
347,31.43,29.92,28.70,23.42
348,31.43,29.92,28.79,23.42
349,31.43,29.92,28.79,23.33
350,31.43,29.92,28.79,23.33
351,31.43,29.92,28.79,23.33
352,31.43,29.92,28.70,23.33
353,31.52,29.92,28.70,23.33
354,31.43,29.92,28.79,23.33
355,31.43,29.92,28.79,23.33
356,31.43,29.92,28.79,23.42
357,31.43,29.92,28.79,23.33
358,31.43,29.92,28.79,23.33
359,31.43,29.92,28.79,23.33
360,31.43,30.01,28.79,23.42
361,31.43,29.92,28.79,23.33
362,31.43,30.01,28.79,23.42
363,31.52,30.01,28.79,23.42
364,31.52,30.01,28.79,23.33
365,31.43,30.01,28.79,23.42
366,31.52,29.92,28.79,23.33
367,31.43,30.01,28.79,23.42
368,31.52,30.01,28.79,23.33
369,31.43,30.01,28.79,23.33
370,31.52,30.01,28.89,23.33
371,31.52,30.01,28.79,23.33
372,31.43,30.01,28.79,23.33
373,31.52,30.01,28.89,23.33
374,31.52,30.01,28.89,23.33
375,31.62,30.01,28.79,23.33
376,31.52,30.01,28.79,23.42
377,31.52,30.01,28.89,23.33
378,31.52,30.01,28.89,23.33
379,31.52,30.01,28.89,23.33
380,31.52,30.01,28.79,23.33
381,31.52,30.01,28.79,23.42
382,31.52,30.01,28.89,23.42
383,31.52,30.01,28.79,23.33
384,31.52,30.01,28.89,23.33
385,31.52,30.01,28.89,23.33
386,31.52,30.01,28.89,23.33
387,31.52,30.01,28.79,23.42
388,31.52,30.01,28.89,23.33
389,31.52,30.01,28.89,23.33
390,31.52,30.01,28.89,23.33
391,31.52,30.01,28.89,23.33
392,31.52,30.01,28.79,23.33
393,31.52,30.10,28.89,23.33
394,31.62,30.10,28.89,23.33
395,31.62,30.10,28.89,23.33
396,31.52,30.10,28.89,23.33
397,31.62,30.10,28.89,23.33
398,31.52,30.10,28.89,23.33
399,31.62,30.10,28.89,23.33
400,31.62,30.10,28.89,23.33
401,31.52,30.10,28.89,23.42
402,31.62,30.10,28.89,23.33
403,31.62,30.10,28.89,23.33
404,31.72,30.10,28.89,23.42
406,31.62,30.10,28.89,23.33
407,31.62,30.10,28.89,23.42
408,31.62,30.10,28.98,23.33
409,31.72,30.10,28.98,23.33
410,31.62,30.10,28.98,23.42
411,31.72,30.20,28.89,23.33
412,31.72,30.10,28.89,23.33
413,31.62,30.10,28.89,23.33
414,31.72,30.10,28.98,23.33
415,31.72,30.10,28.89,23.33
416,31.72,30.20,28.89,23.33
417,31.72,30.20,28.89,23.33
418,31.62,30.20,28.89,23.33
419,31.72,30.10,28.89,23.33
420,31.62,30.20,28.89,23.33
421,31.72,30.20,28.98,23.33
422,31.72,30.20,28.98,23.33
423,31.72,30.10,28.98,23.33
424,31.72,30.10,28.98,23.33
425,31.72,30.20,28.98,23.33
426,31.62,30.20,28.98,23.33
427,31.62,30.20,28.98,23.33
428,31.62,30.20,28.98,23.42
429,31.72,30.20,28.98,23.33
