Temps (s),T1 (°C),T2 (°C),T3 (°C)
Temps (s), T1 (°C), T2 (°C), T3 (°C)
224,22.61,23.33,23.33
225,22.61,23.33,23.33
226,22.61,23.33,23.33
227,22.61,23.33,23.33
228,22.52,23.33,23.33
229,22.61,23.33,23.33
230,22.52,23.33,23.33
231,22.52,23.33,23.33
232,22.52,23.24,23.33
233,22.52,23.24,23.33
234,22.52,23.24,23.33
235,22.52,23.24,23.33
236,22.52,23.24,23.33
237,22.52,23.24,23.33
238,22.52,23.24,23.33
239,22.52,23.24,23.33
240,22.52,23.24,23.33
241,22.52,23.24,23.33
242,22.52,23.24,23.24
243,22.52,23.24,23.33
244,22.52,23.24,23.33
245,22.52,23.24,23.33
246,22.52,23.24,23.33
247,22.52,23.24,23.33
248,22.52,23.24,23.33
249,22.52,23.24,23.33
250,22.52,23.24,23.33
251,22.52,23.24,23.33
252,22.52,23.24,23.24
253,22.52,23.24,23.33
254,22.43,23.24,23.33
255,22.52,23.24,23.33
256,22.52,23.24,23.24
257,22.52,23.24,23.24
258,22.43,23.24,23.24
259,22.52,23.24,23.24
260,22.52,23.15,23.24
261,22.43,23.24,23.33
262,22.52,23.24,23.24
263,22.52,23.15,23.24
264,22.43,23.24,23.24
265,22.43,23.15,23.24
266,22.43,23.24,23.24
268,22.43,23.15,23.24
269,22.43,23.24,23.24
270,22.43,23.15,23.24
271,22.43,23.15,23.24
272,22.43,23.15,23.24
273,22.43,23.15,23.24
274,22.43,23.15,23.24
275,22.43,23.15,23.24
276,22.43,23.15,23.24
277,22.43,23.15,23.24
278,22.43,23.15,23.24
279,22.43,23.15,23.24
280,22.43,23.15,23.24
281,22.43,23.15,23.24
282,22.43,23.15,23.24
283,22.43,23.15,23.24
284,22.43,23.15,23.24
285,22.43,23.15,23.24
286,22.43,23.15,23.24
287,22.43,23.15,23.24
288,22.43,23.15,23.24
289,22.43,23.15,23.24
290,22.43,23.15,23.24
291,22.43,23.15,23.15
292,22.43,23.15,23.15
293,22.43,23.15,23.24
294,22.43,23.15,23.15
295,22.43,23.15,23.15
296,22.43,23.15,23.24
297,22.43,23.15,23.24
298,22.43,23.15,23.15
299,22.43,23.15,23.15
300,22.43,23.15,23.15
301,22.43,23.15,23.15
302,22.43,23.15,23.15
303,22.43,23.15,23.15
304,22.43,23.15,23.15
305,22.43,23.15,23.15
306,22.43,23.15,23.15
307,22.43,23.15,23.15
308,22.43,23.15,23.15
309,22.43,23.15,23.15
310,22.43,23.15,23.15
311,22.43,23.15,23.15
312,22.43,23.15,23.15
313,22.43,23.15,23.15
314,22.43,23.15,23.15
315,22.43,23.15,23.15
316,22.43,23.15,23.15
317,22.43,23.15,23.15
318,22.43,23.15,23.15
319,22.43,23.15,23.15
320,22.43,23.15,23.15
321,22.43,23.15,23.15
322,22.43,23.15,23.15
323,22.35,23.15,23.15
324,22.43,23.15,23.15
325,22.43,23.15,23.15
326,22.35,23.06,23.15
327,22.35,23.15,23.15
328,22.35,23.15,23.15
329,22.35,23.15,23.15
330,22.35,23.15,23.15
331,22.35,23.06,23.15
332,22.35,23.15,23.15
333,22.35,23.15,23.15
334,22.35,23.15,23.15
335,22.35,23.06,23.15
336,22.35,23.06,23.15
337,22.35,23.15,23.15
338,22.35,23.06,23.15
339,22.35,23.06,23.15
340,22.35,23.06,23.15
341,22.35,23.06,23.15
342,22.35,23.06,23.15
343,22.35,23.06,23.15
344,22.35,23.06,23.15
345,22.35,23.06,23.15
346,22.35,23.06,23.15
347,22.35,23.06,23.15
348,22.35,23.06,23.15
349,22.35,23.06,23.15
350,22.35,23.06,23.15
351,22.35,23.06,23.15
352,22.35,23.06,23.15
353,22.35,23.06,23.15
354,22.35,23.06,23.15
355,22.35,23.06,23.15
356,22.35,23.06,23.15
357,22.35,23.06,23.15
358,22.35,23.06,23.15
359,22.35,23.06,23.15
360,22.35,23.06,23.15
361,22.35,23.06,23.15
362,22.35,23.06,23.15
363,22.35,23.06,23.15
364,22.35,23.06,23.15
365,22.35,23.06,23.15
366,22.35,23.06,23.15
367,22.35,23.06,23.06
368,22.35,23.06,23.15
369,22.35,23.06,23.15
370,22.35,23.06,23.15
371,22.35,23.06,23.15
372,22.35,23.06,23.15
373,22.35,23.06,23.15
374,22.35,23.06,23.15
375,22.35,23.06,23.15
376,22.35,23.06,23.15
377,22.35,23.06,23.15
378,22.35,23.06,23.15
379,22.35,23.06,23.15
380,22.35,23.06,23.15
381,22.35,23.06,23.15
382,22.35,23.06,23.15
383,22.35,23.06,23.15
384,22.35,23.06,23.15
385,22.35,23.06,23.15
386,22.35,23.06,23.15
387,22.35,23.06,23.06
388,22.35,23.06,23.06
389,22.35,23.06,23.06
390,22.35,23.06,23.06
391,22.35,23.06,23.06
392,22.35,23.06,23.06
393,22.35,23.06,23.06
394,22.35,23.06,23.15
395,22.35,23.06,23.15
396,22.35,23.06,23.06
397,22.35,23.06,23.06
398,22.35,23.06,23.06
399,22.35,23.06,23.06
400,22.35,23.06,23.15
401,22.35,23.06,23.06
402,22.35,23.06,23.06
403,22.35,23.06,23.15
404,22.35,23.06,23.06
405,22.35,23.06,23.15
406,22.35,23.06,23.06
407,22.35,23.06,23.06
408,22.26,23.06,23.06
409,22.35,23.06,23.06
410,22.35,23.06,23.06
411,22.26,23.06,23.06
412,22.35,23.06,23.06
413,22.26,23.06,23.06
414,22.35,23.06,23.06
415,22.35,23.06,23.06
416,22.26,23.06,23.06
417,22.35,23.06,23.06
418,22.26,22.97,23.06
419,22.26,23.06,23.06
420,22.35,22.97,23.06
421,22.26,23.06,23.06
422,22.26,23.06,23.06
423,22.26,23.06,23.06
424,22.26,23.06,23.06
425,22.26,23.06,23.06
426,22.26,22.97,23.06
427,22.26,22.97,23.06
428,22.26,22.97,23.06
429,22.26,23.06,23.06
430,22.26,22.97,23.06
431,22.26,22.97,23.06
432,22.26,23.06,23.06
433,22.26,23.06,23.06
434,22.26,23.06,23.06
435,22.26,23.06,23.06
436,22.26,22.97,23.06
437,22.26,23.06,23.06
438,22.26,22.97,23.06
439,22.26,22.97,23.06
440,22.26,22.97,23.06
441,22.35,22.97,23.06
442,22.35,22.97,23.06
443,22.35,22.97,23.06
444,22.35,22.97,23.06
445,22.35,22.97,23.06
446,22.35,22.97,23.06
447,22.35,23.06,23.06
448,22.35,23.06,23.06
449,22.35,22.97,23.06
450,22.35,23.06,23.06
451,22.35,22.97,23.06
452,22.35,23.06,23.06
453,22.35,23.06,23.06
454,22.35,23.06,23.06
455,22.35,22.97,23.06
456,22.35,23.06,23.06
457,22.35,23.06,23.06
458,22.35,22.97,23.06
459,22.35,23.06,23.06
460,22.35,23.06,23.06
461,22.35,23.06,23.06
462,22.35,23.06,23.06
463,22.35,22.97,23.06
464,22.35,22.97,23.06
465,22.35,23.06,23.06
466,22.35,23.06,23.06
467,22.35,23.06,23.06
468,22.35,23.06,23.06
469,22.35,23.06,23.06
470,22.35,23.06,23.06
471,22.35,23.06,23.06
472,22.35,23.06,23.06
473,22.35,22.97,23.06
474,22.26,23.06,23.06
475,22.35,23.06,23.06
476,22.35,22.97,23.06
477,22.35,22.97,23.06
478,22.35,22.97,23.06
479,22.35,22.97,23.06
480,22.26,23.06,23.06
481,22.35,22.97,23.06
482,22.26,22.97,23.06
483,22.35,22.97,23.06
484,22.35,22.97,23.06
485,22.26,22.97,23.06
486,22.26,23.06,23.06
487,22.26,22.97,23.06
488,22.35,22.97,23.06
489,22.26,22.97,23.06
490,22.26,23.06,23.06
491,22.26,22.97,23.06
492,22.26,22.97,23.06
493,22.26,22.97,23.06
494,22.26,22.97,23.06
495,22.26,22.97,23.06
496,22.26,22.97,23.06
497,22.26,22.97,23.06
498,22.26,22.97,23.06
499,22.26,22.97,23.06
500,22.26,22.97,23.06
501,22.26,22.97,23.06
502,22.26,23.06,23.06
503,22.35,22.97,23.06
504,22.26,22.97,23.06
505,22.35,22.97,23.06
506,22.35,22.97,23.06
507,22.35,22.97,23.06
508,22.35,22.97,23.06
509,22.35,22.97,23.06
510,22.35,22.97,23.06
511,22.35,22.97,23.06
512,22.35,22.97,23.06
513,22.35,22.97,23.06
514,22.35,22.97,23.06
515,22.35,22.97,23.06
516,22.26,22.97,23.06
